Name,Description,Social URLs,City,Phones,company_clean,Final Email
Super Dave Moving,"Super Dave Moving is a family-owned moving company based in the DFW area that offers a range of services for residential, commercial, and long-distance moves. Their main functionalities include local moving, specialized senior moving solutions, packing and unpacking services, and storage solutions tailored to individual needs. They provide free estimates, a referral program, and emphasize customer satisfaction through professional service and community support.","https://www.facebook.com/superdavemoving, https://www.facebook.com/superdavemoving/reviews, https://www.instagram.com/super_dave_moving",Dallas,,Super Dave Moving,colin@homepcrepair.com.au
Fat Cat Movers,"Fat Cat Movers is a professional moving company based in Houston, TX, offering a range of relocation services for both local and long-distance moves. Their main functionalities include customized moving plans tailored to individual needs, furniture assembly, packing and unpacking, junk removal, cleaning, and vehicle transport services. The team is fully licensed, insured, and bonded, ensuring efficient handling of belongings and providing transparent pricing with no hidden fees. They also offer specialized services for seniors and provide secure storage solutions for larger relocations.","https://www.facebook.com/p/fat-cat-movers-61579093396952, https://www.instagram.com/fatcatmoversllc, https://x.com/1, https://www.yelp.com/biz/texas-moving-services-cypress-3",Bellville,+18323981770,Fat Cat Movers,fatcatmovers@gmail.com
We Got Moves,"We Got Moves is a moving company based in Greater Sudbury, Ontario, offering a range of moving services for both residential and commercial clients. Their main functionalities include office moving, residential moving, junk removal, demolition, hot tub moving, long-distance moving, and specialized storage solutions. The company emphasizes customer service, professionalism, and safety throughout the moving process, ensuring that all tasks are completed on time and within budget. They also provide free estimates and emphasize personalized support to help customers navigate their moving needs effectively.","https://www.facebook.com/wegotmovessudbury, https://www.facebook.com/wegotmovessudbury/reviews, https://www.instagram.com/wegotmovessudbury",Greater Sudbury,+17059190881,We Got Moves,wegotmovescanada@gmail.com
About Time Moving,"About Time Moving is a local moving company based in Kenosha, WI, with over 20 years of experience in the industry. They offer a range of moving services including furniture relocation, packing, and transportation for both residential and commercial moves. The company emphasizes reasonable rates, flexible scheduling, and prompt service to ensure a smooth transition for clients throughout the move process. Their team is licensed and insured, ensuring high-quality standards in their operations.","https://www.linkedin.com/company/about-time-moving-systems-llc, https://www.facebook.com/abouttimemoving, https://www.instagram.com/about_time_moving, https://twitter.com/abouttimemoving",Kenosha,,About Time Moving,quinn@abouttimemoving.com
Gypsee Movers Ltd,"Gypsee Movers Ltd is a professional moving company based in London, Ontario, offering local and long-distance moving services for homes, apartments, offices, and specialty items like hot tubs and pianos. Their main functionalities include packing, transporting, disassembly, and delivery of furniture, with a focus on careful handling and transparent pricing. The company emphasizes customer service throughout the move process and provides options for both residential and commercial moves, ensuring efficient and reliable support.","https://www.facebook.com/people/gypsee-movers/61576187354830, https://www.facebook.com/people/gypsee-movers/61576187354830/?mibextid=wwxifr&rdid=cokqoxsg2y51hqkt&share_url=https://www.facebook.com/share/1775qlkdgq/?mibextid=wwxifr, https://www.instagram.com/gypsee_movers_ltd, https://www.instagram.com/gypsee_movers_ltd/?igsh=nmz1cgx3y3bsnwdp&utm_source=qr, https://www.pinterest.com/gypseemovers",London,"+12262681198, +12265775230",Gypsee Movers,gypseemovers7@gmail.com
Load & Go Movers,"load & Go Movers is a moving company that provides a variety of relocation services for both residential and commercial clients in the Metro DC area, Maryland. Their main offerings include local moving, long-distance moving, junk removal, and furniture delivery. The company emphasizes personalized service, eco-friendly practices, and meticulous planning to ensure smooth transitions while ensuring safety and efficiency throughout the move process. They also offer specialized services like packing, storage, and junk disposal, catering to various moving needs from small moves to large transfers.","https://facebook.com/loadandgomoving1, https://instagram.com/loadandgollc",Laurel,+12404834816,Load & Go Movers,loadandgomoving1@gmail.com
Jones Moving & Storage,"Jones Moving & Storage is a moving company based in Arizona that offers a variety of moving and storage services for both residential and commercial clients. Their main functionalities include residential moving, commercial moving, long-distance moving, packing services, white glove service, piano moving, hot tub moving, and large item moving. They provide professional packing services to secure belongings, ensuring timely delivery, and specialized storage solutions tailored to meet the specific needs of different types of moves. The company operates multiple locations across Phoenix and surrounding areas, providing personalized support throughout the move process.","https://www.linkedin.com/company/jones-moving, https://facebook.com/135760729777966, https://www.facebook.com/jonesmoverz, https://instagram.com/jonesmoving, https://www.yelp.com/biz/jones-moving-and-storage-phoenix-3",Phoenix,"+16052563550, +16232213335, +12488673430, +14802695960, +14809466683, +16239756683",Jones Moving & Storage,jonesmoverz@gmail.com
"A Smooth Move, LLC","A Smooth Move, LLC is a professional moving company based in Appleton, Wisconsin, specializing in both residential and commercial moves. The company offers a streamlined moving process that includes flat-rate quotes, date confirmation, and secure move day preparation. Key features include experienced local crews, specialized services for upholstered items, and the use of eco-friendly materials like water bottles and furniture containers to ensure safe and efficient relocation logistics. A Smooth Move is family-owned, hands-on leadership from the owner, allowing clients to manage their moving needs effectively.","https://www.facebook.com/asmoothmovewi, https://www.instagram.com/asmoothmovewi",Appleton,+19202034645,A Smooth Move,asmoothmovewi@gmail.com
Straight Move LLC,"Straight Move is a moving company based in Miami, Florida, offering a range of relocation services for both local and long-distance moves. Their main functionalities include personalized consultations to understand client needs, professional packing and unpacking, and secure storage solutions. Key features include same-day service guarantees, junk removal, and the use of eco-friendly materials like water bottles and electric car chargers, ensuring a smooth relocation experience. The company emphasizes prompt service, competitive pricing, and customer satisfaction throughout the moving process.","https://m.facebook.com/straightmoving, https://www.instagram.com/straightmove",Miami Gardens,+19543945474,Straight Move,straightmoving@gmail.com
Move ON Moving & Storage,"Move ON Moving and Storage is a moving company based in the Boston area that offers a range of moving services including local, long-distance, last-minute, office, and residential moves. Their main functionality includes professional packing, transportation, unpacking, and storage solutions, ensuring a smooth transition for clients throughout the move process. Key features include same-day and last- minute moving options, personalized packing solutions, and a commitment to safety with specialized equipment like white glove movers. The company emphasizes customer satisfaction and provides free estimates and transparent pricing without hidden fees.","https://www.facebook.com/move-on-102639965230872, https://www.facebook.com/moveonusa, https://www.instagram.com/moves.on_, https://twitter.com/move_on_us, https://x.com/move_on_us, https://www.yelp.com/biz/move-on-cambridge-2",Boston,+16172333987,Move ON Moving & Storage,customer.moveon@gmail.com
"Legacy Moving Services, LLC","Legacy Moving Services is a moving company that offers local, long-distance, and specialized moving solutions for homes, apartments, townhouses, and offices in Florida. Their main services include packing, unpacking, and transporting heavy items like grand pianos and gun safes, as well as providing storage options with 24-hour video surveillance. The company emphasizes customer service, has a team of experienced movers, and operates throughout the state, ensuring reliable and safe moving experiences for its clients.","https://www.facebook.com/legacymovingservices, https://www.instagram.com/legacymovingservices, https://www.instagram.com/legacymovingservices/?hl=en, https://www.yelp.com/biz/legacy-moving-services-plano-3",Tampa,"+13526194733, +14078631405, +18134679190",Legacy Moving Services,legacymovingservices@gmail.com
Smooth Moves,"Smooth Moves is a moving company based in Sudbury, Ontario, offering a range of relocation services for both residential and commercial clients. Their main functionalities include packing, transporting, and storing items such as hot tubs, furniture, and junk removal. The team provides personalized moving assistance throughout the move process, ensuring safety, professionalism, and attention to detail to help clients navigate their relocation needs effectively. They also offer specialized services like piano moving and specialized moving tank removal.","https://www.facebook.com/wegotmovessudbury, https://www.facebook.com/wegotmovessudbury/reviews, https://www.instagram.com/wegotmovessudbury",Greater Sudbury,+17056753113,Smooth Moves,wegotmovescanada@gmail.com
Prime Packers,"Prime Packers LLC is an independent moving company that offers a range of services including local, long-distance, and in-home moves across Southwest Michigan and Northwest Indiana. Their main functionality includes packing, transporting, wrapping, and unpacking belongings for efficient relocation. Key features include personalized service, transparent pricing with no hidden fees, the ability to schedule appointments via text or email, and a commitment to customer satisfaction through regular communication and support during the move.","https://www.linkedin.com/company/primepackers, https://m.facebook.com/primepackersllc, https://instagram.com/primepackersllc, https://x.com/primepackersllc, https://www.youtube.com/channel/UCbM7T8tm4o_H10D9_eSXrnQ, https://www.yelp.com/biz/prime-packers-llc-berrien-springs",Berrien Springs,+12692598804,Prime Packers,alvin@prime-packers.com
MYLO,"MYLO is a moving and storage service based in the Twin Cities, Minnesota. It offers a streamlined process for customers to book moving services, manage their inventory, and schedule pickup and deliveries through a user-friendly online platform. Key features include fast estimates, technology for managing vehicle coordination, transparent pricing with no hidden fees, and tailored solutions for various relocation needs, including full-service relocations and small items.","https://www.linkedin.com/company/mylo-inc, https://www.facebook.com/getmylo, https://www.facebook.com/mylo.solutions, https://www.instagram.com/getmylo, https://www.x.com/get_mylo, https://www.Youtube.com/@getmylo",Minneapolis,,MYLO,helpdesk@getmylo.com
Illinois Movers Inc,"Illinois Movers Inc is a moving company that offers professional relocation services for both residential and commercial moves across the United States. Their main functionalities include long-distance moving, professional packing and crating, secure storage solutions, and transportation of household goods. They provide transparent pricing with no hidden fees, ensuring customer satisfaction through a 99.9% damage-free delivery rate and have over 30 years of experience in the moving industry. The company also emphasizes safety and professionalism, employing fully licensed and insured personnel to ensure efficient logistics for long- distance relocations.","https://www.linkedin.com/company/illinoismovers, https://www.linkedin.com/company/illinoismoversinc, https://www.facebook.com/illinoismovers, https://www.instagram.com/illinoismovers, https://twitter.com/illinoismovers, https://x.com/illinoismovers, https://www.pinterest.com/illinoismover, https://www.yelp.com/biz/a-and-a-professional-movers-llc-freemansburg-6",Wood Dale,"+17736399555, +18883159335",Illinois Movers,sales@illinoismoversinc.com
McMinn Moving N More,"McDonnier Moving is a moving company based in Athens, TN, offering residential and commercial moving services. Their main functionalities include packing, unpacking, furniture removal, appliances, and junk removal for both new homes and senior relocations. They provide transparent pricing with no hidden fees, quick estimates, and a commitment to customer service throughout the moving process. The company operates Monday through Friday from 9 AM to 5:30 PM, ensuring reliable support for clients in McMinn County.","https://www.linkedin.com/company/mcminnmovingnmore, https://www.facebook.com/mcminnmovingnmore, https://www.instagram.com/mcminnmovingmore, https://twitter.com/@https://twitter.com/mcminnmoving, https://twitter.com/mcminnmoving",Athens,"+14234543729, +14235064717, +18444316683",McMinn Moving N More,dev@hometowncreatives.com
Easy Florida Moving LLC,"Easy Florida Moving is a moving company that offers residential and long-distance relocation services in South Florida. They provide a range of services including local, national, and international moves, as well as packing, transportation, and storage solutions. The company emphasizes customer satisfaction with free estimates, transparent pricing, and a commitment to safety and professionalism throughout the move process. Their team consists of trained movers who ensure efficient handling of belongings and reliable delivery.","https://www.linkedin.com/company/easy-florida-moving-llc, https://facebook.com/easyfloridamoving, https://www.instagram.com/easy_florida_moving, https://twitter.com/eflmoving, https://x.com/eflmoving",Hallandale Beach,"+17863381008, +18553396683",Easy Florida Moving,easyfloridamoving@gmail.com
Moving Forward Transit,"Moving Forward Transit is a moving company based in Maine that offers professional moving services across all 50 states. Their main functionalities include local, interstate, and specialty moves for items like heavy furniture, gun safe goods, and rare automotive parts. They provide tailored moving plans, expert packing, and transportation services, ensuring a stress-free transition for families and professionals alike. The company emphasizes safety and professionalism throughout the move process, with options for same-day assistance and specialized transport solutions.","https://www.facebook.com/movingforwardtransit, https://www.facebook.com/watch/?v=1195343924727257&ref=sharing, https://www.instagram.com/movingforwardtransit, https://www.instagram.com/movingforwardtransit/?hl=en",Washington,"+12073209264, +12073580674",Moving Forward Transit,kevin.m@movingforwardtransit.com
Monkey Moving,"Monkey Moving is a moving service provider in Florida that offers a range of solutions for both residential and commercial moves. Their main services include packing, unpacking, transportation, heavy lifting, and furniture setup, catering to various needs such as long-distance moves and custom packages. Key features include a fully licensed and insured team, on-time service, and a focus on efficient and reliable handling of belongings to ensure a stress-free move.","https://www.facebook.com/monkeymoving503?mibextid=zbwkwl, https://www.instagram.com/monkeymovingllc/profilecard/?igsh=djlqcwh5ejnza2m5",Portland,"+15036646087, +15038219708",Monkey Moving,monkeymoving503@gmail.com
More Than a Move LLC,"More Than a Move is a moving service that specializes in senior move management and home downsizing. They offer professional organizing services for homes, packing, and coordinating moves to ensure a smooth transition for seniors and their families. Their team handles all aspects of the moving process, including decluttering and maximizing space, while also providing free consultations to discuss individual needs.","https://www.facebook.com/morethanamove, https://instagram.com/morethanamove, https://www.yelp.com/biz/more-than-move-phoenix?osq=more+than+a+move+phx&override_cta=get+pricing+&+availability",Phoenix,+14809936440,More Than a Move,morethanamovellc@gmail.com
CJW Movers LLC,"CJW Movers LLC is a moving company based in Texas that offers residential and commercial relocation services. They provide local moving, long-distance moving, packing, unpacking, and storage solutions for both homes and businesses. The team focuses on delivering efficient and professional moving experiences, ensuring minimal downtime and careful handling of belongings. CJW Mo Moving emphasizes transparent pricing with no hidden fees and aims to deliver a stress-free experience for their clients throughout the move process.","https://www.facebook.com/p/cjw-movers-llc-61574010436723, https://www.instagram.com/cjw_movers",Addison,+19727423426,CJW Movers,cjwmovers@gmail.com
On The Move Movers,"On The Move Movers is a moving company based in Manassas, VA, offering both local and long-distance moving services. Their main functionalities include packing, shipping, storage, and specialized moving assistance for items like furniture and pianos. They provide free estimates, handle all aspects of the move, and ensure that belongings are safely packed and arrive at their new locations. The company emphasizes customer service and aims to simplify the moving process for clients by collaborating closely with experienced movers throughout the process.","https://www.facebook.com/josh.russell.7186?mibextid=wwxifr&rdid=asx4uxqfq8sa5zdb&share_url=https%3a%2f%2fwww.facebook.com%2fshare%2f19tduprxsp%2f%3fmibextid%3dwwxifr, https://www.instagram.com/onthemove72?igsh=a2zzmhzhyw1sb2rz&utm_source=qr, https://www.yelp.com/biz/on-the-move-movers-manassas-2",Manassas,+15712927285,On The Move Movers,onthemove0072@yahoo.com
Super Duper Movers,"Super Duper Movers is a moving company based in Calgary that offers local, long-distance, and last-minute moves. Their services include packing, unpacking, storage, and insurance claims for various types of belongings. They provide free estimates and operate by the hour within 150 km of Calgary, ensuring professional service throughout the move process. The company emphasizes customer satisfaction with a focus on efficient and personalized solutions.","https://www.facebook.com/movingcompanycalgary, https://instagram.com/superdupermovers",Calgary,+15872290673,Super Duper Movers,superdupermovers@hotmail.com
Mako Movers,"Mao Movers is a licensed moving company based in Charleston, South Carolina, offering local and long-distance moving services for apartments, commercial spaces, senior living, and more. Their main functionality includes packing, unpacking, and storage, with options for same-day or next-day delivery across various locations in the Lowcountry. Key features include personalized moving plans, professional customer service, and resources like a moving cost calculator to assist clients in planning their moves.","https://www.facebook.com/makomovers, https://www.instagram.com/makomovers",Charleston,+18435801242,Mako Movers,makomovers2024@gmail.com
Goodfellas Moving Company,"Goodfellas Moving Company is a moving service provider based in Arnold, MO, offering a range of relocation solutions for residential and commercial moves. Their main services include residential moving, office moving, long-distance moving, junk removal, estate cleanouts, and packing supplies. They provide same-day estimates and tailored moving plans to ensure safe handling, efficient planning, and stress-free experiences for various clients, including seniors and active military personnel. The company emphasizes customer satisfaction and offers competitive rates and dedicated support throughout the moving process.","https://facebook.com/101978166936108, https://instagram.com/goodfellasmoving, https://yelp.com/biz/goodfellas-moving-company-arnold",Arnold,"+13144058228, +16363218276",Goodfellas Moving,jeff.lodike@gmail.com
Hercules Movers,"Hercules Movers is a family-owned moving company in Ohio that offers a variety of moving services for both residential and long-distance moves. Their main functionalities include local, long- distance, intrastate, and specialty moving services such as packing, junk removal, and gym moving. They provide free estimates, professional packing assistance, and ensure customer satisfaction throughout the move process with clear communication and expert planning. Hercules Movers operates primarily in Central Ohio and has a network of licensed and insured movers across multiple locations in Ohio.","https://www.facebook.com/herculesmoversllc, https://www.instagram.com/herculesmoversohio, https://www.youtube.com/@HerculesMovingCompany, https://www.yelp.com/biz/hercules-movers-columbus-23",Columbus,"+16149810490, +16148205927",Hercules Movers,info@herculesmoversoh.com
Wellen Moving LLC,"Wellen Moving LLC offers professional moving services for residential, commercial, and long-distance moves in Venice and Sarasota County. Their main functionalities include local and long/long-distance moving, labor-only moving assistance, packing services, and junk removal. They focus on careful handling of fragile items, structured scheduling for business relocations, and efficient storage solutions to ensure a smooth relocation process. Wellen Moving aims to provide tailored support throughout the moving process, ensuring customer satisfaction and reliability.","https://www.facebook.com/wellenmovingservices, https://www.instagram.com/wellenmovingservices",Takoradi,,Wellen Moving,sosagabriel797@gmail.com
"Move Within Movers Chicago, Inc.","Move Within Movers Chicago, Inc. is a moving company that offers a range of services for both residential and commercial moves in the Chicago area. Their main functionality includes packing, unpacking, transporting, and re-movining items, ensuring safe and efficient handling of all relocation needs. Key features include specialized crews with over 35 years of experience, free estimates, and a commitment to customer service, backed by multiple awards for customer satisfaction and professional movement solutions.","https://www.linkedin.com/company/move-within-movers-chicago-inc-, https://www.facebook.com/mwmchicago, https://instagram.com/mwmchicago, https://www.twitter.com/mwmchicago, https://www.pinterest.com/mwmchicago, https://www.yelp.com/biz/move-within-movers-chicago-inc-chicago",Chicago,"+17739311500, +13126929562",Move Within Movers Chicago,contact@mwmchicago.com
Mission Minded Moving,"Mission Minded Moving is a professional moving company based in San Diego that offers local, long-distance, and specialized services for various needs. Their main functionalities include packing, furniture moves, junk removal, and demolition of items. They provide free estimates, secure shipping options, and have over 40 years of experience in the moving industry, ensuring efficient service throughout the process. Mission Minded also emphasizes environmental responsibility by donating or recycling old items.","https://facebook.com/missionmindedmoving, https://instagram.com/accounts/login/?next=/missionmindedmoving, https://yelp.com/biz/mission-minded-moving-and-hauling-san-diego",San Diego,"+17605296020, +18006477466",Mission Minded Moving,missionmindedmoving@gmail.com
Mobile Storage Rentals,"Mobile Storage Rentals offers portable storage solutions for individuals and businesses in the Kitchener, Waterloo, Cambridge, and Guelph areas. They provide mobile storage containers that can be delivered directly to customers' homes or local facilities, ensuring secure and efficient storage for both residential and commercial moving needs. The company also sells new and used shipping containers in various sizes, including 10ft, 20ft, and 40ft, with options for delivery and pick-up at designated locations. Customers can request a quick quote and schedule services through their website or by contacting them directly.","https://www.linkedin.com/company/mobile-storage-rentals, https://www.facebook.com/msrwaterloo, https://www.instagram.com/mobile_storagerentals",Kitchener,+15197499331,Mobile Storage Rentals,sales@mobilestoragerentals.ca
San Diego Piano Movers Inc.,"San Diego Piano Movers Inc. is a professional moving company specializing in the transportation and care of pianos across Southern California. With over 35 years of experience, they offer services such as custom crating, stair navigation, secure storage solutions, and white-glove handling for sensitive instruments. The company focuses on providing a stress-free moving experience tailored to the specific needs of families, businesses, and concert venues, ensuring safe and reliable transport of valuable pieces.",https://www.instagram.com/sdpianomovers/?g=5,Palos Verdes Estates,+18004995733,San Diego Piano Movers,davesdpm@gmail.com
Peaceful Life Organizing Solutions,"Peaceful Life Organizing Solutions offers professional organizing and home management services aimed at restoring order to homes and improving overall living spaces. Their main functionalities include personalized organizational systems for various areas such as offices, bedrooms, kitchens, and bathrooms, as well as moving services like packing and staging. They provide a straightforward process that includes a virtual consultation to discuss needs, followed by the removal of unwanted items and responsible recycling through donation centers. The company focuses on creating a calm and organized environment while supporting clients throughout their journey to enhance their well-being and productivity in their homes.","https://www.facebook.com/peacefullifeorganizingsolutions, https://www.instagram.com/peacefullifeorganizing, https://www.tiktok.com/@peacefullifeorganizing",More,,Peaceful Life Organizing Solutions,peacefullifeorganizingsol@gmail.com
Easy Does It Moving and More,"Easy Does It Moving and More is a moving company in Rhode Island that offers local, long-distance, and emergency moving services. Their main functionalities include packing, unpacking, and secure storage solutions for residential and commercial moves. They provide professional handling of belongings, efficient loading and unloading, and have over 20 years of experience in the industry, ensuring reliable service throughout the move process.","https://www.facebook.com/p/easy-does-it-moving-more-61568157532838, https://www.instagram.com/easydoesit401",Narragansett,,Easy Does It Moving and More,easilydone401@gmail.com
Roys Moving 1,"Roys Moving 1 is a moving company based in Chicago, IL, specializing in residential and long-distance moves. They offer a range of services including local moving assistance, one-bedroom apartment relocations, furniture delivery, and comprehensive packing and storage solutions. The team consists of trained movers who prioritize customer satisfaction and ensure a smooth transition for both homeowners and businesses throughout the move process. Roys Moving 1 also provides same-day service for urgent moving needs and emphasizes reliable support and professionalism throughout the moving experience.","https://www.facebook.com/roysmoving1, https://www.instagram.com/roysmoving1",Chicago,+13128330738,Roys Moving 1,roysmoving1@gmail.com
Happy Helpers Moving Co,"Happy Helpers Moving Co is a full-service moving company serving residential and commercial clients in Florida's Gulf Coast, specifically in Sarasota and surrounding areas. They offer a variety of moving services including local moves, long-distance relocations, packing, specialty moving, senior moving, and junk removal. The company emphasizes customer satisfaction and provides tailored solutions to meet individual needs, ensuring that all belongings are safe and well-maintained. Customers can request free quotes through their website or by phone.","https://www.linkedin.com/company/happy-helpers-moving-co, https://facebook.com/happyhelpersmovingco, https://www.facebook.com/privacy/policies/cookies/?entry_point=cookie_policy_redirect&entry=0, https://www.instagram.com/happyhelpersmovingco, https://www.instagram.com/happyhelpersmovingco?igsh=n2jrcnz6a3axaxfi, https://youtube.com/@happyhelpersmovingco572",Sarasota,,Happy Helpers Moving,brock@happyhelpersmovingco.com
Trays Movers,"Trays Movers is a moving company based in Spring Valley, New York, offering a range of services including full-service long-distance moving, local relocation, and small move solutions. Their main functionality includes packing, safe delivery, unpacking, and unloading belongings before they are shipped to their destination. They also provide specialized services such as antique and fine arts moving, ensuring personalized support for each client throughout the moving process. Trays Mo Moving emphasizes competitive pricing with no hidden fees and has over 15 years of experience in the industry.","https://www.facebook.com/traysmover, https://www.instagram.com/trays_movers_",Spring Valley,,Trays Movers,traysmovers@gmail.com
SOS Moving Company,"SOS Moving Company is a moving service based in Northern Colorado that offers full-service moves, including packing, transportation, and unpacking. They handle all aspects of the move, from routine tasks to long-distance moves, ensuring efficient and personalized service for clients. Key features include licensed and insured services, assistance with heavy items likeods and furniture, and a focus on customer satisfaction through professional communication and professionalism.","https://www.facebook.com/sosmovingco, https://www.instagram.com/sos.moving.co",Fort Collins,+19704207111,SOS Moving,sparks@sosmovingco.com
1/2 Price Movers,"1/2 Price Movers is a moving company based in New York City that offers professional residential and commercial moving services. They provide packing, storage, and moving supplies for items like pianos and furniture, ensuring secure and efficient handling of belongings. The company guarantees flat rates with no hidden fees, handles all moves with personalized service, and ensures the safety of sensitive items throughout the move. Their team consists of licensed movers who prioritize customer satisfaction and support during the moving process.","https://www.facebook.com/halfpricemoversny, https://www.instagram.com/halfpricemoversnynj",Highland Park,+17186890556,1/2 Price Movers,halfpricemoversmailbox@gmail.com
Indian Valley Trading Company,"Indian Valley Trading Co. is a local moving company based in Harleysville, PA, specializing in long-distance moves, house cleanouts, junk removal, and commercial relocations. The company offers services such as secure storage for items during the move, packing assistance, and responsible disposal of unwanted items. They are fully licensed and insured to ensure safe and efficient moving processes, with their team consists of active EMS/Fire & Medical personnel who provide support throughout the relocation process.","https://www.linkedin.com/company/indian-valley-trading-company, https://www.facebook.com/605115109648608, https://www.facebook.com/605115109648608_605115109648608_1539876974808361, https://www.facebook.com/605115109648608_605115109648608_1560053296124062, https://www.facebook.com/indianvalleytradingco, https://www.facebook.com/indianvalleytradingco/reviews/?ref=page_internal, https://www.instagram.com/indianvalleytradingco",Green Lane,+12675007282,Indian Valley Trading,indianvalleytradingco@gmail.com
