Domain,Company,Employees,Industry Groups,City,State,Country,ContaGen Contacts,Build Date,Run ID
actv8me.com,ACTV8me,11-50,"SAAS:0.96, BIG_DATA_AND_ANALYTICS:0.61, ADVERTISING_AND_MARKETING:0.81",Beverly Hills,MA,US,4,2026-08-11,3397
clearlyrated.ai,,,,,,,0,2026-08-11,3397
fintary.com,Fintary,11-50,"SAAS:0.97, INSURANCE:0.98",Basic,CA,US,2,2026-08-11,3397
updamus.com,,,,,,,0,2026-08-11,3397
opendrives.com,OpenDrives,51-200,"MEDIA:0.55, SOFTWARE:0.63, CLOUD_COMPUTING:0.78",Culver City,CA,US,1,2026-08-11,3397
inception-group.com,Inception Group,201-500,"HOSPITALITY:0.95, RESTAURANTS:0.85",London,ENG,GB,5,2026-08-11,3397
aplostechnologies.com,Aplos Technologies,1-10,"SOFTWARE:0.55, FINANCIAL_SERVICES:0.38",Norwalk,NY,US,5,2026-08-11,3397
virdee.ai,,,,,,,0,2026-08-11,3397
nucomply.com,,,,,,,0,2026-08-11,3397
advantageroute.com,,,,,,,0,2026-08-11,3397
owl-ai.com,,,,,,,0,2026-08-11,3397
luminx.net,,,,,,,0,2026-08-11,3397
cline.no,,,,,,,0,2026-08-11,3397
connectiv.ae,ConnectIV,11-50,ADVERTISING_AND_MARKETING:0.97,Dubai,DU,AE,3,2026-08-11,3397
learningspring.com,LearningSpring,1-10,"SAAS:0.93, EDUCATION:0.98",Denver,CO,US,2,2026-08-11,3397
osorobotics.ai,Oso Robotics,11-50,MANUFACTURING:0.97,Laguna Hills,CA,US,2,2026-08-11,3397
cognica.com,Cognica,11-50,"IT_SERVICES:0.53, CONSTRUCTION:0.91",Swindon,ENG,GB,1,2026-08-11,3397
keepfactor.com,Keepfactor,1-10,REAL_ESTATE:0.97,Amsterdam,NH,NL,2,2026-08-11,3397
texo.co.za,,,,,,,0,2026-08-11,3397
termly.io,Termly,11-50,"SAAS:1.0, LEGAL:0.88",Spokane,WA,US,3,2026-08-11,3397
promptwell.com,PromptWell,11-50,"SAAS:0.95, HEALTHCARE:0.91",Westborough,MA,US,4,2026-08-11,3397
truecomp.com,TrueComp,11-50,"SAAS:0.98, GOVERNMENT_SERVICES:0.84",West Hollywood,MD,US,3,2026-08-11,3397
optimile.eu,,,,,,,0,2026-08-11,3397
42.fr,42,1001-5000,"EDUCATION:0.99, NONPROFIT_AND_PHILANTHROPY:0.78",Paris,IDF,FR,5,2026-08-11,3397
pivoten.com,Pivoten,11-50,"SOFTWARE:0.99, OIL_AND_GAS:0.87",Denver,CO,US,5,2026-08-11,3397
tranquility.ai,,,,,,,0,2026-08-11,3397
datagol.com.br,,,,,,,0,2026-08-11,3397
cylera.com,Cylera,11-50,"SAAS:0.84, HEALTHCARE:0.86, CYBERSECURITY:0.94",Madrid,MD,ES,5,2026-08-11,3397
parkade.com,Parkade,11-50,"SAAS:0.98, REAL_ESTATE:0.73",Los,CA,NG,4,2026-08-11,3397
straddle.com,,,,,,,0,2026-08-11,3397
portraitresearch.com,Portrait Analytics,11-50,"SAAS:0.97, FINANCIAL_SERVICES:0.8",New York,CA,US,1,2026-08-11,3397
guild.ai,Guild,1-10,SAAS:0.99,Cypress,CA,US,1,2026-08-11,3397
shoelacewireless.com,Shoelace Wireless,1-10,SOFTWARE:0.81,,CA,US,4,2026-08-11,3397
factorae.com,,,,,,,0,2026-08-11,3397
docunlock.com,DocUnlock,1-10,SUPPLY_CHAIN_AND_PROCUREMENT:0.96,San Francisco,CA,US,1,2026-08-11,3397
orderprotection.com,Order Protection,11-50,SAAS:0.89,Corlis,UT,GB,4,2026-08-11,3397
aira-technology.com,Aira Technologies,11-50,"SAAS:0.82, TELECOMMUNICATIONS:0.93",Saratoga,TX,US,5,2026-08-11,3397
haven-connect.org,,,,,,,0,2026-08-11,3397
buoyant.io,Buoyant,11-50,"CYBERSECURITY:0.93, CLOUD_COMPUTING:0.64",Tar,NC,IT,5,2026-08-11,3397
quire.io,,,,,,,0,2026-08-11,3397
dialed.com,,,,,,,0,2026-08-11,3397
tellagence.ai,,,,,,,0,2026-08-11,3397
uptool.com,Uptool,1-10,"SAAS:0.95, MANUFACTURING:0.89",San Mateo,CA,US,2,2026-08-11,3397
propervoltage.com,Proper Voltage,11-50,"SAAS:0.87, ENERGY:0.74",Carlsbad,CA,US,2,2026-08-11,3397
entanglement.com,,,,,,,0,2026-08-11,3397
rebootmotion.com,Reboot Motion,1-10,"SOFTWARE:0.2, SPORTS_AND_RECREATION:0.57",Remote,AZ,US,4,2026-08-11,3397
buf.com,BUF,51-200,ENTERTAINMENT:0.95,Paris,,FR,5,2026-08-11,3397
prismml.com,,,,,,,0,2026-08-11,3397
stacklet.ai,,,,,,,0,2026-08-11,3397
northmiles.com,,,,,,,0,2026-08-11,3397
anterior.com,Anterior,11-50,"SAAS:0.96, HEALTHCARE:0.86",New York City,NY,US,5,2026-08-11,3397
pieces.tokyo,,,,,,,0,2026-08-11,3397
liverpool.ac.uk,University of Liverpool,10001+,EDUCATION:1.0,Liverpool,ENG,GB,5,2026-08-11,3397
cornerstone.ac.za,Cornerstone Institute,51-200,EDUCATION:0.99,Kaapstad,WC,ZA,2,2026-08-11,3397
outrival.com,OutRival,11-50,SAAS:0.97,San Francisco,FL,US,3,2026-08-11,3397
ludicahealth.com,Ludica Health,1-10,"SAAS:0.86, HEALTHCARE:0.98",Demo,QC,FR,3,2026-08-11,3397
sigmatic.ch,,,,,,,0,2026-08-11,3397
promptpath.ai,PromptPath,11-50,SAAS:1.0,Austin,TX,US,5,2026-08-11,3397
biosensics.com,BioSensics,11-50,"HEALTHCARE:0.82, BIOTECHNOLOGY:0.54",Newton,MA,US,4,2026-08-11,3397
storyboard.global,,,,,,,0,2026-08-11,3397
gail-lloyd-art.com,,,,,,,0,2026-08-11,3397
jaris.com,Jaris,1-10,"SAAS:0.89, FINANCIAL_SERVICES:0.96",Burlingame,CA,US,2,2026-08-11,3397
kodahealth.com.au,,,,,,,0,2026-08-11,3397
nubasolutions.com,Nuba Solutions,11-50,"HEALTHCARE:0.53, IT_SERVICES:0.94",El Paso,TX,US,1,2026-08-11,3397
amesa.com,Amesa,11-50,"SAAS:0.95, MANUFACTURING:0.82",Sacramento,IL,US,5,2026-08-11,3397
ideemllc.com,Ideem Latam,1-10,EDUCATION:0.96,Weston,MN,US,1,2026-08-11,3397
nomad-data.com,Nomad Data,11-50,"SAAS:0.95, INSURANCE:0.52, BIG_DATA_AND_ANALYTICS:0.84",New York,NY,US,2,2026-08-11,3397
usecanopy.com,Canopy Connect,11-50,"SAAS:0.96, INSURANCE:0.98",Brooklyn,NY,US,4,2026-08-11,3397
riyex.com,Riyex,1-10,"SAAS:0.58, IT_SERVICES:0.92",Fort Worth,TX,US,2,2026-08-11,3397
liveschool.net,,,,,,,0,2026-08-11,3397
fab-ricglobal.com,,,,,,,0,2026-08-11,3397
verifix.com,,,,,,,0,2026-08-11,3397
tribeamfinancial.com,TriBeam Financial,11-50,"SAAS:0.69, FINANCIAL_SERVICES:0.91",Boston,CA,US,5,2026-08-11,3397
pixee.be,,,,,,,0,2026-08-11,3397
flashnet.ch,,,,,,,0,2026-08-11,3397
finnyapp.com,,,,,,,0,2026-08-11,3397
flow-engineering.com,,,,,,,0,2026-08-11,3397
stable.auto,Stable Auto,11-50,"SAAS:0.87, ENERGY:0.55, BIG_DATA_AND_ANALYTICS:0.84",Beaverton,OR,US,5,2026-08-11,3397
biddocs.com,BidDocs,1-10,"SAAS:0.98, CONSTRUCTION:0.92",Groton,MA,US,1,2026-08-11,3397
sciforium.com,Sciforium,1-10,CLOUD_COMPUTING:0.98,Sacramento,CA,US,2,2026-08-11,3397
rosalind-2.com,,,,,,,0,2026-08-11,3397
air.io,AIR Media-Tech,201-500,"SAAS:0.8, FINANCIAL_SERVICES:0.71, ADVERTISING_AND_MARKETING:0.68",Port Hope,ON,CA,3,2026-08-11,3397
teamengine.co.uk,Team Engine,1-10,"SAAS:0.99, ENTERTAINMENT:0.71",Odiham,ENG,GB,1,2026-08-11,3397
up-list.com,,,,,,,0,2026-08-11,3397
4irsolutions.com,,,,,,,0,2026-08-11,3397
coinfinity.co,,,,,,,0,2026-08-11,3397
cybx.dev,,,,,,,0,2026-08-11,3397
cloudcapsule.dev,,,,,,,0,2026-08-11,3397
airshop.gr,,,,,,,0,2026-08-11,3397
conduit-tech.io,,,,,,,0,2026-08-11,3397
virgo-sy.com,Virgo Business Solutions,1-10,TRAVEL:0.54,Cairo,C,EG,1,2026-08-11,3397
spareboxtech.com,SpareBox Technologies,1-10,"SAAS:0.95, REAL_ESTATE:0.85",Denver,CO,US,3,2026-08-11,3397
athian.sk,,,,,,,0,2026-08-11,3397
leaporbit.com,Leap Orbit,11-50,"SAAS:0.81, HEALTHCARE:0.95",Columbia,MD,US,5,2026-08-11,3397
fanconnect.tv,FanConnect,11-50,"SAAS:0.96, SPORTS_AND_RECREATION:0.79",Charlotte,NC,US,4,2026-08-11,3397
ctgt.ai,CTGT,1-10,"SAAS:0.98, INSURANCE:0.85, FINANCIAL_SERVICES:0.58",San Francisco,CA,US,2,2026-08-11,3397
calmwave.com,,,,,,,0,2026-08-11,3397
snh-ai.com,Snh Ai,11-50,SAAS:0.98,Switzerland,TX,JP,2,2026-08-11,3397
motra.com,Motra,11-50,"SAAS:0.57, WELLNESS_AND_LIFESTYLE:0.93",Toronto,ON,CA,2,2026-08-11,3397
kontext.com,,,,,,,0,2026-08-11,3397
wedge-formation.com,,,,,,,0,2026-08-11,3397
teleskope.ai,Teleskope,11-50,"SAAS:0.98, CYBERSECURITY:0.96",New York,NY,US,5,2026-08-11,3397
