Name,Input:Domain,Domain,Industry Groups,Business Model,Keywords,Description,Social URLs,Score,Revenue Range,Employees,Start Date,Street,City,State,Zip,Country,Phones,Public Emails,Redirect Domain,Update Date,query_name,ingested_at,company_clean,segment,public_emails_clean,MV,BB,Final Email,Source,Status
Amaro's Rigging & Moving Corp.,amarosrm.com,amarosrm.com,CONSUMER_SERVICES:0.92,"B2B:0.89, B2C:0.76","equipment relocation:0.55, relocation medical:0.53, amaro rigging:0.51, moving services:0.5, rigging services:0.49, moves hospitals:0.44, moving corp:0.44, equipment transportation:0.43, refurbishing services:0.41, services medical:0.39, services looking:0.38, rigging refurbishing:0.38, rigging moving:0.38, new location:0.31, saint lucie:0.3","Amaro's Rigging & Moving is a family-owned company based in Port Saint Lucie, FL, specializing in the relocation and installation of medical equipment. They offer services such as rigging, moving, installation, and refurbishing for various types of medical gear, including wheelchairs, wheelchairs. With over 20 years of experience, their team can handle moves within hospitals and clinics, ensuring efficient handling of medical belongings throughout the move. Customers can request estimates and schedule appointments through their website or by phone.",,10,1-10M,1-10,2024-02-06,690 Nw Enterprise Drive,Port Saint Lucie,FL,34986,US,"+17728735267, +17728735269",infoquote@amarosrm.com,amarosrmfl.com,2026-06-14,General Moving Companies in US / CA,2026-06-23T14:22:29.097+03:00,Amaro's Rigging & Moving,has_public,infoquote@amarosrm.com,ok,skipped,infoquote@amarosrm.com,P0,done
RT Relocation,rtmoversct.com,rtmoversct.com,CONSUMER_SERVICES:1.0,"B2B:0.96, B2C:0.92","ct moving:0.62, rt relocation:0.59, mover connecticut:0.57, relocation service:0.55, business ct:0.55, companies ct:0.54, relocating business:0.54, relocation moving:0.54, ct rt:0.52, services ct:0.52, moving services:0.51, residential mover:0.51, ct provides:0.51, moving companies:0.5, reliable moving:0.45","RT Relocation is a moving company based in Cheshire, Connecticut, offering local and long-distance relocation services for residential, corporate, and commercial clients. Their main functionalities include packing, unpacking, and storage solutions, ensuring that belongings are safe and organized throughout the move. Key features include licensed and insured movers, custom packaging options, and a focus on customer satisfaction with transparent pricing and no hidden fees. RT Relocation also provides specialized services such as employee relocation and transportation assistance.","https://www.linkedin.com/company/rt-relocation, https://www.facebook.com/rtrelocation, https://www.facebook.com/rtrelocation/reviews, https://www.instagram.com/rtrelocation, https://twitter.com/rtrelocation, https://www.yelp.com/biz/rt-relocation-cheshire",119,1-10M,1-10,2019-07-23,10 Diana Court,Cheshire,CT,06410,US,"+18336683978, +12038061365",support@rtmoversct.com,,2026-05-31,General Moving Companies in US / CA,2026-06-23T14:22:29.097+03:00,RT Relocation,has_public,support@rtmoversct.com,catch_all,deliverable,support@rtmoversct.com,P0,done
Champion Moving LLC,championmover.com,championmover.com,CONSUMER_SERVICES:0.92,"B2B:0.88, B2C:0.89","moving cleveland:0.58, moving offers:0.54, moving service:0.49, relocation services:0.49, moving apartments:0.48, moving companies:0.47, services cleveland:0.46, moving office:0.46, custom moving:0.45, moving afterpay:0.44, moving storage:0.44, moving team:0.43, bedrooms champion:0.38, voucher processing:0.38, storage payment:0.37","Champion Moving is a professional moving company based in Cleveland, OH, offering a range of relocation services for homes and businesses. They provide customizable moving packages tailored to various sizes of properties, including apartments and townhomes, with flexible payment plans that include the first payment over six weeks and interest-free installments. The company emphasizes customer service, employs experienced moving crews, and offers next-day delivery of packing supplies and moving kits online. Additionally, Champion Moving specializes in protecting fragile items and ensuring proper assembly for new furniture during moves.","https://www.linkedin.com/company/champion-moving-llc, https://www.facebook.com/championmovingofficial, https://www.instagram.com/championmoving_official, https://www.twitter.com/champion_moving, https://x.com/championmoving‬‬",79,1-10M,1-10,2017-03-10,1305 Lloyd Rd,Wickliffe,OH,44092,US,"+14407036524, +14405965969",info@championmover.com,,2026-05-31,General Moving Companies in US / CA,2026-06-23T14:22:29.097+03:00,Champion Moving,has_public,info@championmover.com,catch_all,deliverable,info@championmover.com,P0,done
Slattery Moving & Storage,slatterymoving.com,slatterymoving.com,CONSUMER_SERVICES:0.9,B2C:0.97,"moved ny:0.58, manor ny:0.54, movers westchester:0.53, ferry ny:0.51, ny bronxville:0.49, valley ny:0.48, county movers:0.47, tarrytown ny:0.46, cornwall ny:0.45, hastings ny:0.45, ny new:0.44, ny dobbs:0.42, bedford ny:0.41, peekskill ny:0.41, moving services:0.39","Slattery Moving & Storage is a moving company that offers residential and long-distance moving services in Rockland County, New York. Their main functionalities include packing, storage, and junk removal for homes and apartments. Key features include flexible scheduling, guaranteed quotes, and a focus on customer service to ensure smooth relocation processes. They serve various communities across the region and provide tailored solutions for both small and large moves.","https://www.linkedin.com/company/slattery-moving-&-storage, https://www.facebook.com/slatterymoving, https://www.facebook.com/slatterymoving/reviews, https://www.instagram.com/slatterymoving, https://www.youtube.com/@Slatterymoving",283,<1M,1-10,2016-10-14,148 Maple Ave,Haverstraw,NY,10927,US,+18457271800,info@slatterymoving.com,,2026-06-08,General Moving Companies in US / CA,2026-06-23T14:22:29.097+03:00,Slattery Moving & Storage,has_public,info@slatterymoving.com,ok,skipped,info@slatterymoving.com,P0,done
A Friendly & Affordable Mover,lovemymover.com,lovemymover.com,CONSUMER_SERVICES:0.9,"B2B:0.94, B2C:0.94","mover virginia:0.56, virginia beach:0.56, moved va:0.55, movers virginia:0.54, beach va:0.54, va beach:0.53, services virginia:0.51, surrounding virginia:0.49, affordable movers:0.49, hampton roads:0.48, tidewater hampton:0.48, companies virginia:0.45, residential moving:0.44, moving florida:0.42, moving services:0.42","A Friendly & Affordable Mover is a moving company that offers local and long-distance moving services in Virginia Beach, Tidewater, Hampton Roads, and surrounding areas. Their main functionality includes providing professional moving assistance for residential and commercial moves, packing, unpacking, and storage solutions. They offer free in-home estimates, flexible scheduling, and a range of moving supplies such as boxes and shipping equipment. The company emphasizes customer satisfaction and aims to simplify the moving process through reliable service and expert support.",https://www.facebook.com/afriendlymover,90,1-10M,1-10,2018-08-22,516 Central Drive,Virginia Beach,VA,23454,US,,sales@afriendlymover.com,,2026-06-07,General Moving Companies in US / CA,2026-06-23T14:22:29.097+03:00,A Friendly & Affordable Mover,has_public,sales@afriendlymover.com,ok,skipped,sales@afriendlymover.com,P0,done
"Flatbush Moving Van Co., Inc.",flatbushmoving.com,flatbushmoving.com,CONSUMER_SERVICES:1.0,"B2B:0.88, B2C:0.96","moved staten:0.54, jersey moving:0.52, nj flatbush:0.48, moving companies:0.48, new jersey:0.48, living relocation:0.46, moving 2020:0.46, relocate office:0.45, nj web:0.45, moving haul:0.44, recommend moving:0.43, distance ny:0.42, moving flatbush:0.42, state contact:0.4, york storage:0.4","Flatbush Moving is a moving and storage company serving New York and New Jersey since 1922. They offer residential, long-distance, and commercial relocation services, including packing and storage for fragile items like furniture and senior living. The company provides free estimates and emphasizes customer service, with a focus on efficient and friendly handling of the moving process. Additionally, they have a rewards program that allows customers to earn points for purchases made through their online store.","https://www.linkedin.com/company/flatbush-moving-van-company, https://www.facebook.com/flatbushmoving",86,1-10M,1-10,2019-04-24,830 East Elizabeth Avenue,Linden,NJ,07036,US,"+18006716683, +17182368900, +19089258500","info@flatbushmoving.com, admin@flatbushmoving.com",,2026-06-10,General Moving Companies in US / CA,2026-06-23T14:22:29.097+03:00,Flatbush Moving Van,has_public,info@flatbushmoving.com,ok,skipped,info@flatbushmoving.com,P0,done
Schuck Moving Systems Corp.,schuckmoving.com,schuckmoving.com,"SUPPLY_CHAIN_AND_PROCUREMENT:0.52, CONSUMER_SERVICES:0.4",,"contact schuck:0.6, schuckmoving com:0.58, schuck moving:0.56, schuck schuckmoving:0.51, home relocating:0.47, service moving:0.46, relocation moving:0.45, relocating business:0.45, moving company:0.44, information schuck:0.44, moving 800:0.42, zip number:0.42, home 800:0.4, located rockland:0.34, packing storage:0.32","Schuck Moving Systems Corp. is a family-owned moving company based in Rockland County, New York, specializing in residential, commercial, and corporate relocation services. They offer a range of services including packing, storage, and logistical support for moving special commodities and additional services like automobile and record storage. The company emphasizes personalized customer service and tailored to meet the unique needs of each client, ensuring successful relocation processes.",,0,,1-10,,,Valley Cottage,NY,10989,US,,schuck@schuckmoving.com,,2025-07-09,General Moving Companies in US / CA,2026-06-23T14:22:29.097+03:00,Schuck Moving Systems,has_public,schuck@schuckmoving.com,ok,skipped,schuck@schuckmoving.com,P0,done
Big Apple Moving,bigapplemoving.com,bigapplemoving.com,CONSUMER_SERVICES:1.0,"B2B:0.96, B2C:0.93","moving nyc:0.69, nyc movers:0.69, nyc moving:0.68, movers nyc:0.68, york movers:0.64, manhattan movers:0.63, movers ny:0.6, movers brooklyn:0.6, storage nyc:0.58, services nyc:0.53, residential moving:0.52, specialty moving:0.52, moving company:0.51, moving services:0.5, movers storage:0.49","Big Apple Moving is a moving company based in New York City that offers a range of services for both residential and commercial moves. Their main functionalities include packing, unpacking, junk removal, furniture assembly, and storage solutions. They provide same-day or short-term moving options across various locations in NYC, ensuring efficient and safe relocation processes with no hidden fees or surprises. The team consists of trained movers who prioritize customer satisfaction and ensure a smooth moving experience throughout the process.","https://www.linkedin.com/company/big-apple-moving, https://www.facebook.com/bigapplemovingandstorage, https://www.instagram.com/bigapplemovers, https://twitter.com/bigapplemovers, https://twitter.com/https://twitter.com/bigapplemovers, https://www.youtube.com/@newyorkcitymover",87,1-10M,1-10,2016-10-21,750 Lexington Ave,New York,NY,10022,US,+12123650707,"contact@bigapplemoving.com, customercare@bigapplemoving.com, claims@bigapplemoving.com",,2026-05-31,General Moving Companies in US / CA,2026-06-23T14:22:29.097+03:00,Big Apple Moving,has_public,"contact@bigapplemoving.com, customercare@bigapplemoving.com, claims@bigapplemoving.com",catch_all,deliverable,contact@bigapplemoving.com,P0,done
Todd Transportation,toddtransportation.com,toddtransportation.com,"CONSUMER_SERVICES:0.64, SUPPLY_CHAIN_AND_PROCUREMENT:0.25","B2B:0.96, B2C:0.97","rutland vt:0.64, vt rutland:0.63, rutland vermont:0.62, vermont moving:0.61, transportation vermont:0.61, located rutland:0.56, rutland surrounding:0.56, services vermont:0.52, contact rutland:0.52, serve rutland:0.51, vermont nh:0.49, vt moving:0.48, todd transportation:0.46, moving service:0.44, moving wheaton:0.4","Todd Transportation is a moving and storage company based in Rutland, Vermont, serving the region including Western New Hampshire, Eastern New York, and surrounding areas. The company offers services for residential, corporate, and international moves, as well as commercial and household goods storage solutions. Todd Transportation provides free estimates and has been an interstate agent with Wheaton World Wide Moving since 2005, focusing on customer satisfaction and efficient service throughout the moving process.","https://www.linkedin.com/company/237097, https://www.linkedin.com/company/todd-transportation-co, https://www.facebook.com/toddtransportationco, https://x.com/wheatonmoving, https://www.youtube.com/user/wheatonworldmoving",75,<1M,1-10,2022-08-30,25 Curtis Avenue,Rutland,VT,05701,US,"+18006248633, +18027752377",heide@toddtransportation.com,,2026-06-04,General Moving Companies in US / CA,2026-06-23T14:22:29.097+03:00,Todd Transportation,has_public,heide@toddtransportation.com,ok,skipped,heide@toddtransportation.com,P0,done
Blue Moving,bluemoving.com,bluemoving.com,CONSUMER_SERVICES:1.0,"B2B:0.76, B2C:0.97","ny moving:0.64, moving office:0.63, moving city:0.58, moving needs:0.55, company moving:0.55, moving storage:0.55, state moving:0.52, belongings moving:0.52, moving 2019:0.51, moving professionally:0.51, service moving:0.51, movers movers:0.46, moving seamlessly:0.43, phone moving:0.42, quote movers:0.41","Blue Moving is a moving company based in New York City that offers a range of services for local, long-distance, and custom moves. Their main functionality includes providing seamless relocation solutions for individuals, families, and businesses, as well as storage options during the move process. Key features include professional packing and transportation, personalized moving consultations, and a focus on customer service throughout the moving process.","https://www.linkedin.com/company/blue-moving-ny, https://www.facebook.com/bluemovingnyc, https://www.yelp.com/biz/blue-moving-new-york",153,1-10M,1-10,2019-05-20,1357 Lafayette Avenue,New York,NY,10474,US,+12124322132,info@bluemoving.com,,2026-06-07,General Moving Companies in US / CA,2026-06-23T14:22:29.097+03:00,Blue Moving,has_public,info@bluemoving.com,ok,skipped,info@bluemoving.com,P0,done
Condor Moving Systems,condormovingsystems.com,condormovingsystems.com,CONSUMER_SERVICES:0.99,"B2B:0.98, B2C:0.94","movers condormovingsystems:0.68, moving condor:0.64, condormovingsystems com:0.64, condor moving:0.63, faq condor:0.6, delivery condor:0.59, systems condor:0.58, experience condor:0.58, form condor:0.58, condor packing:0.57, brokerage condor:0.57, storage condor:0.55, condor difference:0.54, blog condor:0.51, affordable moving:0.4","Condor Moving Systems is a full-service moving company that offers local and long-distance relocation services for residential, commercial, and government moves. They manage the entire moving process from planning to completion, including packing, crating, transportation, and storage solutions. Key features include specialized services for fragile items, senior relocations, military transfers, and office relocations with trained movers, all supported by their own equipment and extensive experience in the industry.","https://www.linkedin.com/company/791734, https://www.linkedin.com/company/condor-moving-systems, https://www.facebook.com/condor-moving-systems-220389398553, https://www.instagram.com/condormoving, https://twitter.com/condormovingsys, https://x.com/condormovingsys, https://www.youtube.com/channel/UC6ybgt9TL5VRiXHXd7RMTtw",193,1-10M,1-10,2016-11-19,4009 E Loop 820 S,Fort Worth,TX,76119,US,+18177011580,movers@condormovingsystems.com,,2026-05-29,General Moving Companies in US / CA,2026-06-23T14:22:29.097+03:00,Condor Moving Systems,has_public,movers@condormovingsystems.com,ok,skipped,movers@condormovingsystems.com,P0,done
Confiança Moving and Storage,confiancamoving.com,confiancamoving.com,SUPPLY_CHAIN_AND_PROCUREMENT:0.98,"B2B:0.7, B2C:0.92","confianca moving:0.69, confianc moving:0.56, moving services:0.51, fl confianca:0.51, moving needs:0.5, makes confianca:0.49, local moving:0.49, international moving:0.48, home confianc:0.46, confianc infrastructure:0.46, working confianca:0.45, confiancamoving com:0.45, state relocation:0.43, successfully transporting:0.41, distance international:0.4","Confianca Moving is a moving company that offers local and international relocation services across all 50 American states. Their main functionality includes packing, transportation, and managing the entire move process for clients, ensuring a smooth transition to their new homes. Key features include customized packing plans, a dedicated team of professionals, and a streamlined logistics solution such as freight forwarding and warehousing. They also provide white glove delivery for items during moves and have experience in handling customs clearance for both Brazilian and U.S. customers.","https://www.linkedin.com/company/agência-28-11, https://www.linkedin.com/company/confianca-logistics, https://web.facebook.com/confiancamoving, https://www.facebook.com/agencia2811, https://www.instagram.com/agencia_2811, https://www.instagram.com/confiancamoving",0,1-10M,1-10,2018-03-20,7831 Nj Ct Md,Miami,FL,33166,US,"+13056353525, +13056354949, +18662668464","quote@confiancamoving.com, miami@confiancamoving.com",,2026-05-29,General Moving Companies in US / CA,2026-06-23T14:22:29.097+03:00,Confiança Moving and Storage,has_public,"quote@confiancamoving.com, miami@confiancamoving.com",ok,skipped,quote@confiancamoving.com,P0,done
