Name,Input:Domain,Domain,Industry Groups,Business Model,Keywords,Description,Social URLs,Score,Revenue Range,Employees,Start Date,Street,City,State,Zip,Country,Phones,Public Emails,Redirect Domain,Update Date,query_name,ingested_at,company_clean,segment,public_emails_clean,MV,BB,Final Email,Source,Status
ABS Moving and Storage Inc.,absmoving.com,absmoving.com,CONSUMER_SERVICES:0.91,"B2B:0.75, B2C:0.85","moving services abs:0.53, abs movers illinois:0.53, affordable moving:0.48, abs moving texas:0.45, dc abs:0.35, track shipment type:0.32, complete moving:0.32, moving rate:0.3, quotes abs moving:0.28, long distance:0.21, hassle free:0.13, rate quotes:0.12, type type:0.1, class local:0.07, personal attention:0.04","ABS Moving and Storage is an independent moving company that provides local and long-distance moving services across the continental United States, including Washington DC, Maryland, Virginia, Ohio, and Colorado. Their offerings include packing, unpacking, local pickups, transport, and delivery, ensuring personalized customer service throughout the move process. With over two decades of experience, ABS Movers focuses on delivering cost-effective moving solutions tailored to individual needs while maintaining a commitment to personal attention from staff.",https://www.yelp.com/biz/abs-moving-and-storage-silver-spring-2,89,1-10M,1-10,2018-06-14,,Silver Spring,MD,20910,US,,info@absmoving.com,,2026-06-06,General Moving Companies in US / CA 2,2026-06-23T14:36:09.569+03:00,ABS Moving and Storage,has_public,info@absmoving.com,ok,skipped,info@absmoving.com,P0,done
A Couple Great Movers,acouplegreatmovers.com,acouplegreatmovers.com,CONSUMER_SERVICES:0.88,"B2B:0.93, B2C:0.9","relocation service:0.52, movers complete house:0.52, movers organized office:0.45, student movers affordable:0.45, careful local moving:0.42, movers expert pool:0.4, federal transportation:0.33, flexible scheduling:0.24, precise handling:0.24, professional crew:0.21, upfront pricing:0.2, heavy furniture:0.19, unexpected lease:0.19, secure loading:0.14, standard liability coverage:0.14","Nationwide Moving of America offers professional packing and relocation services in Fort Lauderdale for both residential and commercial clients. Their services include local moving, long-distance relocations, specialized moves for offices and apartments, and comprehensive moving solutions such as fragile items and furniture disassembly. They provide transparent pricing with no hidden fees, a minimum move time of two hours, and a commitment to safe handling of sensitive belongings. The company emphasizes customer satisfaction and has over 30 years of experience in the moving industry.",,288,1-10M,1-10,2017-01-12,400 Capitol Mall,Sacramento,CA,95814,US,,"info@acouplegreatmovers.com, info@nationwidemovingstorage.com",,2026-06-09,General Moving Companies in US / CA 2,2026-06-23T14:36:09.569+03:00,A Couple Great Movers,has_public,"info@acouplegreatmovers.com, info@nationwidemovingstorage.com",ok,skipped,info@acouplegreatmovers.com,P0,done
Adler Moving Systems,adlermoving.ca,adlermoving.ca,CONSUMER_SERVICES:0.9,"B2B:0.99, B2C:0.95","affordable moving:0.57, industrial hauling:0.35, commercial contract:0.22, toll free:0.21, cartage pick:0.19, long distance:0.18, new country:0.1, free estimate:0.08, qualified team:-0.01","Adler Moving Systems is a family-owned moving company based in Sault Ste. Marie, Ontario, specializing in local, international, and residential moves for families and businesses. They offer a range of services including commercial contract moving, cartage, deliveries, and industrial hauling. The company is affiliated with Atlas Canada, ensuring quality service and personalized support throughout the relocation process. Adler Moving systems emphasizes efficient and affordable solutions tailored to individual client needs.",,153,<1M,1-10,2018-10-26,,Sault Ste. Marie,ON,,CA,"+17057591661, +18003530374",adlermoving@bellnet.ca,,2026-06-12,General Moving Companies in US / CA 2,2026-06-23T14:36:09.569+03:00,Adler Moving Systems,has_public,adlermoving@bellnet.ca,ok,skipped,adlermoving@bellnet.ca,P0,done
A & D Movers,admovers.ca,admovers.ca,CONSUMER_SERVICES:1.0,"B2B:0.97, B2C:0.95","moving toronto:0.64, movers toronto:0.61, toronto moving:0.6, residential movers:0.6, moving delivery:0.59, residential moving:0.58, business moving:0.57, movers professionals:0.55, moving services:0.55, business movers:0.53, toronto residential:0.5, moves relocation:0.5, toronto business:0.49, services ontario:0.43, packing services:0.42","A & D Movers is a moving company based in Toronto that offers residential and business moving services across Ontario. With over 43 years of experience, they provide customized moving solutions for both home and business moves, including full and partial packing options. Their trained professionals arrive at clients' homes with necessary supplies for safe moving and storage, ensuring a smooth moving experience without hidden fees or late checkout times. A&D Movers also emphasizes transparent pricing and customer service, with a focus on timely and friendly assistance throughout the move process.","https://www.facebook.com/admover, https://www.instagram.com/theboxguys/?hl=en, https://twitter.com/ad_movers",110,<1M,1-10,2017-10-04,660 Eastern Ave,Toronto,ON,,CA,+14166902100,anton@admovers.ca,,2026-06-12,General Moving Companies in US / CA 2,2026-06-23T14:36:09.569+03:00,A & D Movers,has_public,anton@admovers.ca,catch_all,deliverable,anton@admovers.ca,P0,done
Affordable Moving & Storage,affordablemoving.net,affordablemoving.net,CONSUMER_SERVICES:1.0,"B2B:0.98, B2C:0.84","affordable movers:0.68, affordable moving:0.65, moving affordable:0.63, residential movers:0.63, residential moving:0.59, moving business:0.54, moving services:0.53, storage movers:0.52, movers aurora:0.5, movers help:0.5, moving colorado:0.49, moving expense:0.48, mover trustworthy:0.47, customers affordable:0.46, truck referral:0.36","Impressum is a data management and visualization service that specializes in high-volume data processing, machine learning, and software development. The company offers customized solutions for various industries, including semiconductor production and transportation systems. Key features include data mining, visualization, and universal messaging services, along with support for digital transformation projects and advanced data analysis. Impressum also provides user experience options for tracking cookies and managing data privacy practices.","https://www.linkedin.com/company/affordable-moving-&-storage-inc, https://www.facebook.com/www.affordablemovingstorage.net, https://twitter.com/mydenvermovers",86,<1M,1-10,2020-03-19,1600 S Abilene St,Aurora,CO,80012,US,+13036937077,sales@affordablemoving.net,,2026-06-08,General Moving Companies in US / CA 2,2026-06-23T14:36:09.569+03:00,Affordable Moving & Storage,has_public,sales@affordablemoving.net,ok,skipped,sales@affordablemoving.net,P0,done
Affordable Moving Utah,affordablemovingutah.com,affordablemovingutah.com,CONSUMER_SERVICES:0.92,"B2B:0.99, B2C:0.85","moving utah:0.77, utah moving:0.74, services utah:0.67, utah affordable:0.65, businesses utah:0.62, utah based:0.59, company utah:0.59, utah offers:0.58, utah preferred:0.57, utah specializes:0.57, utah privacy:0.56, utah commitment:0.55, affordable moving:0.53, moving services:0.5, moving interstate:0.49","Affordable Moving Utah is a moving company based in Salt Lake City that offers both local and interstate relocation services. Their main functionalities include local moving, interstate moving, storage solutions, packing services, and commercial delivery. They provide 24/7 customer support, handle heavy items safely, and offer specialized services for home improvement projects. The company emphasizes efficient service with trained movers and competitive pricing to ensure a smooth relocation experience for clients.",,146,1-10M,1-10,2020-02-25,4612 S Thyme Cir,West Jordan,UT,84084,US,+18014202334,hyrum.rosquist@kw.com,,2026-06-05,General Moving Companies in US / CA 2,2026-06-23T14:36:09.569+03:00,Affordable Moving Utah,has_public,hyrum.rosquist@kw.com,ok,skipped,hyrum.rosquist@kw.com,P0,done
Alberta First Choice Moving,albertafirstmoving.ca,albertafirstmoving.ca,CONSUMER_SERVICES:0.97,"B2B:0.9, B2C:0.95","moving edmonton:0.7, movers edmonton:0.69, edmonton movers:0.68, moves alberta:0.67, saskatchewan movers:0.66, edmonton moving:0.65, alberta residential:0.63, routes edmonton:0.58, edmonton area:0.58, locations alberta:0.57, alberta choice:0.57, reviews alberta:0.57, residential movers:0.55, calgary need:0.55, alberta free:0.54","Alberta First Choice Moving is a moving company based in Edmonton, specializing in residential and office relocations across Alberta. They offer a range of services including packing, furniture assembly, and senior relocation assistance. The company provides free estimates, on-time arrival guarantees, and a Worry-Free Move Guarantee to ensure smooth moving experiences. With over 40 years of experience, their team focuses on customer satisfaction and offers transparent pricing with no hidden fees.",,185,1-10M,1-10,2018-02-08,5603 67 St Nw,Edmonton,AB,T6B 3H5,CA,"+17804406676, +18006765212",info@albertafirstmoving.ca,,2026-06-10,General Moving Companies in US / CA 2,2026-06-23T14:36:09.569+03:00,Alberta First Choice Moving,has_public,info@albertafirstmoving.ca,ok,skipped,info@albertafirstmoving.ca,P0,done
A-Line Relocation,alinerelocation.com,alinerelocation.com,CONSUMER_SERVICES:1.0,B2C:0.97,"relocation austin:0.59, austin moving:0.55, relocation assisted:0.54, line relocation:0.53, service movers:0.52, moving services:0.51, moving house:0.5, moving storage:0.49, packing moving:0.48, moving 10:0.45, unpacking haul:0.45, senior movers:0.44, movers personalized:0.43, providers austin:0.43, moving experience:0.41","A-Line Relocation is a packing, moving, and storage company based in Austin, Texas. They offer a range of services including local and long-distance moves, precision packing, unpacking, staging, and vehicle transportation for various types of belongings such as furniture and art. A-Line specializes in senior relocation assistance, providing tailored solutions to meet the specific needs of seniors, ensuring that all items are handled with care and protection. Their team consists of experienced movers who prioritize customer satisfaction and provide free estimates for move-related tasks.",,201,<1M,1-10,2018-04-20,429 Doe Run,Georgetown,TX,78628,US,,travis@alinerelocation.com,,2026-06-14,General Moving Companies in US / CA 2,2026-06-23T14:36:09.569+03:00,A-Line Relocation,has_public,travis@alinerelocation.com,catch_all,deliverable,travis@alinerelocation.com,P0,done
All Brunswick Van Lines,allbrunswick.com,allbrunswick.com,"SUPPLY_CHAIN_AND_PROCUREMENT:0.93, CONSUMER_SERVICES:0.07","B2B:0.76, B2C:0.98","relocation brunswick:0.59, moving brunswick:0.58, relocation services:0.58, moving services:0.57, relocation customers:0.57, provide relocation:0.54, international moving:0.53, interstate moving:0.51, residential moves:0.5, relocating rest:0.5, relocate home:0.49, moving company:0.48, moving wheaton:0.48, address change:0.45, van lines:0.37","All Brunswick Van Lines is a moving company that offers residential and international relocation services. They provide transportation, storage, and repair for various types of belongings, including furniture, clothing, and home appliances. The company emphasizes customer satisfaction and quality service, offering free in-home surveys to help clients determine their moving costs. Additionally, they assist with customs clearance and offer specialized moves like the International Movable categorized by category.","https://www.linkedin.com/company/all-brunswick-van-lines-inc, https://www.facebook.com/allbrunswick, https://www.facebook.com/allbrunswick/?ref=bookmarks, https://twitter.com/allbrunswick, https://x.com/allbrunwick",82,<1M,1-10,2020-09-03,182 K Ridge Road,Dayton,NJ,08810,US,"+17322741682, +17322741881, +18004434750",sales@allbrunswick.com,,2026-06-04,General Moving Companies in US / CA 2,2026-06-23T14:36:09.569+03:00,All Brunswick Van Lines,has_public,sales@allbrunswick.com,ok,skipped,sales@allbrunswick.com,P0,done
All City Durham,allcitydurham.com,allcitydurham.com,"CONSUMER_SERVICES:0.8, ENVIRONMENTAL_SERVICES:0.14","B2B:0.97, B2C:0.94","garbage disposal:0.47, storage float service:0.43, storage solution:0.4, household furniture:0.39, mobile storage float:0.37, mobile storage:0.36, float service:0.28, run business:0.18, courteous service:0.17, family run:0.1, customer satisfaction:0.07, free quote today:0.06, web design:0.04, diverse variety:0.03, personal attention:-0.02","All City Durham is a family-owned business that provides moving, storage, and demolition services in the Durham region. They offer mobile storage containers ranging from 14 to 50 feet, as well as short or long-term storage solutions. Their services include garbage disposal bins for both residential and commercial use, household furniture staging, and specialized demolition services for machinery needs. The company emphasizes customer satisfaction and aims to provide reliable service with competitive pricing.",,115,<1M,1-10,2017-05-14,2030 Holt Road,Bowmanville,ON,L1C 3K3,CA,,info@allcitydurham.com,,2026-06-09,General Moving Companies in US / CA 2,2026-06-23T14:36:09.569+03:00,All City Durham,has_public,info@allcitydurham.com,ok,skipped,info@allcitydurham.com,P0,done
All Directions Van Lines,alldirectionsvanlines.com,alldirectionsvanlines.com,CONSUMER_SERVICES:1.0,"B2B:0.97, B2C:0.94","residential moving:0.59, local moving:0.52, nationwide moving:0.52, long distance:0.48, trusted moving:0.48, bedrooms direction:0.47, moving plans:0.47, free moving:0.46, experience moving:0.46, efficient relocation:0.45, directions van:0.45, licensed movers:0.45, military moving:0.43, reviews moving:0.43, costs road:0.35","All Directions Van Lines is a moving company that offers a range of services for residential and long-distance moves across the United States. Their main functionalities include local, state-to-state, cross-country relocations, customized packing plans, and secure storage solutions. They provide free estimates, transparent pricing with no hidden fees, and utilize modern equipment to ensure safe relocation practices. The company emphasizes customer satisfaction through professional service, reliable support, and a commitment to safety during the move process.",,135,1-10M,1-10,2019-01-20,1076 Park Rd Blandón,Blandon,PA,19510,US,,quote@bestusmovinginc.com,,2026-06-05,General Moving Companies in US / CA 2,2026-06-23T14:36:09.569+03:00,All Directions Van Lines,has_public,quote@bestusmovinginc.com,catch_all,deliverable,quote@bestusmovinginc.com,P0,done
Alliance Van Lines,alliancevanlines.ca,alliancevanlines.ca,"SUPPLY_CHAIN_AND_PROCUREMENT:0.86, CONSUMER_SERVICES:0.14","B2B:0.99, B2C:0.95","relocation services:0.58, van lines:0.54, services moving:0.52, alliance vanlines:0.49, transition relocation:0.49, vehicle shipping:0.47, moving companies:0.46, moving costs:0.46, assist shipping:0.45, moving help:0.45, shipping alliance:0.44, package movers:0.43, relocating belongings:0.42, storage transit:0.39, transit household:0.36","Alliance Van Lines is a moving company that offers a range of relocation services for individuals and businesses across North America. Their main functionalities include organizing cross-country moves, local and corporate relocations, storage options, and custom crating services. Key features include basic packing services, vehicle shipping, moving costs determination, and the ability to track shipments online. The team consists of trained relocation specialists who provide personalized support throughout the moving process.",,99,1-10M,1-10,2018-07-02,150 Elgin Street,Ottawa,ON,K2P 1L4,CA,+18775339491,info@alliancevanlines.ca,,2026-05-09,General Moving Companies in US / CA 2,2026-06-23T14:36:09.569+03:00,Alliance Van Lines,has_public,info@alliancevanlines.ca,ok,skipped,info@alliancevanlines.ca,P0,done
"Allied Van Lines, Inc.",alliedvanlines.ca,alliedvanlines.ca,CONSUMER_SERVICES:0.93,"B2B:0.97, B2C:0.94","comprehensive household moving:0.47, moving company:0.46, seamless relocation:0.45, rate best movers:0.36, van lines consent:0.31, distance moving packaging:0.3, customer service:0.29, purchase allied:0.25, ons mileage:0.22, new city:0.19, wireless number:0.14, comprehensive toolset:0.1, submit button:0.08, ease stress:0.07, initial estimate:0.04","Allied Van Lines is a moving company in Canada that offers a range of relocation services for individuals, corporations, and corporate relocations. Their main functionality includes providing household moving, long-distance moves, and international moving solutions tailored to various needs such as furniture assembly, storage, and transportation. Key features include transparent pricing with no hidden fees, 24/7 customer support, and a commitment to professional movers who are trained and insured. They also offer resources like packing tips and moving guides to help clients manage their moving logistics effectively.","https://www.linkedin.com/company/allied-van-lines, https://www.linkedin.com/company/sirva-canada, https://www.facebook.com/alliedvanlines, https://x.com/alliedvl",105,10-100M,1-10,2018-02-05,10403 172Nd Street,Edmonton,AB,T5S 1K9,CA,"+13126166560, +13128190404, +16305703009, +18004702851, +18006689346, +18335910364, +18777047470, +18777256286, +61288682819, +18004446787","intlclaims@sirva.com, dpobrasil@sirva.com, privacyofficer@sirva.com.au, custsvc@alliedvan.com, claims@sirva.ca, customerservice@alliedcanada.com, privacy.administrator@sirva.com, compliancebr@sirva.com, sales@alliedcanada.com, claimstrace@alliedvan.com, atprivacy.administrator@sirva.com, claims@alliedvan.com",,2026-06-13,General Moving Companies in US / CA 2,2026-06-23T14:36:09.569+03:00,Allied Van Lines,has_public,"intlclaims@sirva.com, dpobrasil@sirva.com, privacyofficer@sirva.com.au, custsvc@alliedvan.com, claims@sirva.ca, customerservice@alliedcanada.com, privacy.administrator@sirva.com, compliancebr@sirva.com, sales@alliedcanada.com, claimstrace@alliedvan.com, atprivacy.administrator@sirva.com, claims@alliedvan.com",ok,skipped,intlclaims@sirva.com,P0,done
All Seasons Movers & Storage,allseasonsmove.com,allseasonsmove.com,CONSUMER_SERVICES:0.89,"B2B:0.93, B2C:0.96","movers sugar:0.62, relocations sugar:0.57, movers storage:0.52, local movers:0.52, land movers:0.5, movers treat:0.49, apartment movers:0.47, sugar land:0.45, tx sugar:0.45, moving needs:0.44, moving sweetwater:0.44, moving services:0.44, moving piano:0.43, moves estate:0.43, land tx:0.35","All Seasons Movers & Storage is a family-owned moving company based in Sugar Land, TX, offering a range of relocation services since 1986. Their main functionalities include local and long-distance moving, piano moves, office relocations, packing and unpacking, and storage solutions. The company specializes in personalized moving experiences tailored to the specific needs of residents in Sugarland, ensuring respect for belongings and community requirements. They also provide transparent pricing with no surprise fees and fully licensed and insured movers who prioritize customer satisfaction.","https://www.linkedin.com/company/all-season-moving-&-storage, https://www.facebook.com/allseasonsmove, https://www.facebook.com/allseasonsmove/about?_rdc=1&_rdr, https://www.facebook.com/allseasonsmove/reviews, https://www.instagram.com/allseasonsmoverstx, https://www.pinterest.com/allseasonsmovingstorage, https://www.yelp.com/biz/all-seasons-movers-and-storage-sugar-land-2, https://www.yelp.com/biz/all-seasons-moving-and-storage-sugar-land-4",83,1-10M,1-10,2020-04-21,333 Southwestern Blvd,Sugar Land,TX,77478,US,"+12819037688, +12813463418",info@allseasonsmove.com,,2026-06-13,General Moving Companies in US / CA 2,2026-06-23T14:36:09.569+03:00,All Seasons Movers & Storage,has_public,info@allseasonsmove.com,ok,skipped,info@allseasonsmove.com,P0,done
