Name,Domain,Segment Description,Proximity,Segment Id,Industry Groups,Business Model,Keywords,Description,Social URLs,Score,Revenue Range,Employees,Start Date,Street,City,State,Zip,Country,Phones,Public Emails,Redirect Domain,Update Date,Customer Type,query_name,ingested_at,company_clean,segment,public_emails_clean,MV,BB,Final Email,Source,Status,AI assist
"Medina Movers, LLC",medinamovers.com,Full-Service Moving and Storage,0.63,1,CONSUMER_SERVICES:1.0,"B2B:0.83, B2C:0.95","movers affordable:0.62, medina movers:0.57, movers llc:0.57, moving services:0.56, services moving:0.53, moving specialty:0.53, movers professional:0.51, residential moves:0.51, professional moving:0.5, moving company:0.49, movers moving:0.48, services medina:0.46, state moving:0.46, moving street:0.42, ma ct:0.36","Medina Movers is a moving company that provides professional moving services across New England, including Rhode Island, Massachusetts, Connecticut, New Hampshire, and Vermont. They offer a range of services such as residential moves, packing, and unpacking, with options for affordable pricing and specialized packages. The company emphasizes customer satisfaction and aims to deliver reliable moving solutions tailored to individual needs.","https://www.instagram.com/medinamovers, https://yelp.com/biz/medina-movers-boston-3?utm_medium=badge_button&utm_source=biz_review_badge",89,<1M,11-50,2016-12-23,,,ME,,US,+16174463312,customerservice@medinamovers.com,,2026-05-27,"{""B2B"": 0.83, ""B2C"": 0.95}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,Medina Movers,has_public,customerservice@medinamovers.com,ok,skipped,customerservice@medinamovers.com,P0,done,Noticed that Medina Movers has been serving New England since late 2016 with tailored moving solutions.
Inbox Movers,inboxmovers.com,Full-Service Residential and Commercial Movers,1,2,"SUPPLY_CHAIN_AND_PROCUREMENT:0.84, CONSUMER_SERVICES:0.15","B2B:0.97, B2C:0.98","moving storage:0.63, movers services:0.62, residential moving:0.6, packing moving:0.59, moving services:0.57, moving goods:0.56, destination storage:0.54, business relocation:0.53, warehouse preparing:0.52, services packing:0.52, transport belongings:0.51, delivery packing:0.51, moving industrial:0.5, industrial storage:0.48, auto shipping:0.45","Inbox Movers is a moving service that offers long-distance and commercial moving solutions. They provide professional packing, transportation, and home cleaning services to ensure safe and timely movement of goods. Their storage facilities are designed for efficient management of belongings, and they offer competitive pricing based on the total cost of the move. Customers can request quotes, book services, and access information through their blog.",,88,1-10M,11-50,2022-01-23,3111 S Valley View Blvd # A-221,Las Vegas,NV,89102,US,+18555803111,info@inboxmovers.com,,2026-06-07,"{""B2B"": 0.97, ""B2C"": 0.98}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,Inbox Movers,has_public,info@inboxmovers.com,unknown,deliverable,info@inboxmovers.com,P0,done,Not many Las Vegas movers launched in 2022 have built out home cleaning alongside storage and transport.
Paragon Moving & Storage,paragonmovers.com,Full-Service Residential and Commercial Movers,1,2,CONSUMER_SERVICES:1.0,B2C:0.95,"mover relocation:0.53, understand relocating:0.51, relocation tips:0.5, moving company:0.5, local movers:0.49, moving storage:0.48, shop moving:0.45, moving zip:0.44, moving local:0.43, international moving:0.43, professional moving:0.41, paragon moving:0.38, packing services:0.38, clients paragon:0.38, storage insurance:0.36","Paragon Moving & Storage is a local moving company that offers a range of services including long-distance moving, local moving, international moving, packing, car shipping, and storage solutions. They provide professional movers and packers who ensure the safe movement of items, with a focus on clear communication and upfront pricing to build trust with customers. Key features include fully insured and clean trucks, expert packing services, and a commitment to customer satisfaction through reliable service and transparent pricing.",https://www.yelp.com/biz/paragon-moving-and-storage-commerce-city,117,1-10M,11-50,2019-11-14,,Denver,CO,80202,US,"+17204145625, +18003090789",info@paragonmovers.com,,2026-06-05,"{""B2C"": 0.95}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,Paragon Moving & Storage,has_public,info@paragonmovers.com,ok,skipped,info@paragonmovers.com,P0,done,Not many Denver movers handle international moves and car shipping alongside the usual local work.
Celoxia,celoxia.com,Full-Service Residential and Commercial Movers,1,2,CONSUMER_SERVICES:1.0,"B2B:0.99, B2C:0.88","celoxica smart:0.53, cleaning smart:0.49, cleaning services:0.47, services home:0.47, smart home:0.47, smart place:0.46, celoxia customer:0.46, smart care:0.45, smart office:0.44, house maintenance:0.42, automation services:0.42, businesses smart:0.41, smart solutions:0.41, technology residential:0.4, office moving:0.34","Celoxia offers a range of services focused on enhancing comfort and efficiency in homes, offices, and hospitality venues. Their main functionalities include home cleaning, office cleaning, smart home integration with energy management systems, and professional moving services. Celoxia aims to simplify the cleaning process for customers by providing tailored solutions that improve overall living conditions and productivity.",,89,1-10M,11-50,2021-01-19,380 Bedford Hwy,Halifax,NS,B3M 2L4,CA,"+19027971230, +19024067662","fredericton@celoxia.com, info@celoxia.com",,2026-06-04,"{""B2B"": 0.99, ""B2C"": 0.88}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,Celoxia,has_public,"fredericton@celoxia.com, info@celoxia.com",ok,skipped,fredericton@celoxia.com,P0,done,Not many moving companies in Halifax have combined smart home integration with energy management like you have.
Max Moves,maxmoves.me,Full-Service Residential and Commercial Movers,1,2,CONSUMER_SERVICES:1.0,"B2B:0.91, B2C:0.88","company max:0.54, max moves:0.52, movers packing:0.5, moves company:0.49, 000 max:0.47, stress max:0.46, moving stressful:0.45, maxmoves home:0.44, option movers:0.44, max millions:0.44, info maxmoves:0.43, servicing space:0.42, max bucks:0.4, 150 service:0.39, prices mission:0.35","Max Moves is a moving company that offers a range of services including packing, unpacking, and cleaning for both residential and commercial clients. Their main functionality is to provide safe and efficient moving solutions tailored to individual needs, ensuring customer safety and satisfaction throughout the move process. Key features include free shipping on orders over $1 million, a commitment to quality service with no hidden fees, and a focus on customer support during moving processes.",https://www.facebook.com/maxmovesthespacecoast,91,1-10M,11-50,2022-09-04,,New York,NY,,US,,"info@maxmoves.me, support@maxmoves.me",,2026-06-04,"{""B2B"": 0.91, ""B2C"": 0.88}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,Max Moves,has_public,"info@maxmoves.me, support@maxmoves.me",ok,skipped,info@maxmoves.me,P0,done,Not many New York movers can say they offer free shipping on orders over $1 million.
MOVERSTOGO,moverstogo.com,Full-Service Residential and Commercial Movers,1,2,CONSUMER_SERVICES:1.0,"B2B:0.96, B2C:0.95","residential moving:0.53, moving residential:0.53, moving hotel:0.51, hotel moving:0.5, unpacking residential:0.49, moving carpentry:0.46, movers deliver:0.45, distance residential:0.44, movers faq:0.44, moving office:0.44, moving services:0.42, details residential:0.4, packing smart:0.37, studio bedroom:0.37, moving piano:0.34","Moverstogo is a moving company that offers a variety of moving services for both residential and long-distance needs. Their main functionalities include packing, unpacking, medical moving, hotel moving, office moving, carpentry moving, art and antiques moving, electronics moving, and furniture relocation. The company emphasizes customer service, providing trained movers who prioritize the best possible solutions and ensuring timely and professional support throughout the moving process.",,81,1-10M,11-50,2021-03-13,67 Buck Road,Huntingdon Valley,PA,19006,US,+14454448100,info@moverstogo.com,,2026-06-04,"{""B2B"": 0.96, ""B2C"": 0.95}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,MOVERSTOGO,has_public,info@moverstogo.com,catch_all,deliverable,info@moverstogo.com,P0,done,Not many moving companies in Huntingdon Valley handle medical and hotel moves like you do.
The Moving Company,themovingcompanyca.com,Full-Service Residential and Commercial Movers,1,2,CONSUMER_SERVICES:0.9,"B2B:0.96, B2C:0.93","moving professionals:0.62, online moving:0.62, moving delivery:0.6, residential moving:0.59, relocation needs:0.55, certified moving:0.53, job moving:0.53, moving home:0.53, work moving:0.52, moving company:0.52, customers moving:0.51, distance care:0.47, quality moving:0.45, movers friendly:0.43, company local:0.42","The Moving Company offers local and long-distance moving services for both residential and commercial clients. Their team consists of project managers who focus on providing a smooth relocation experience, utilizing advanced technology and industry expertise. Key features include on-demand moving and delivery options, packing and unpacking services, and secure storage solutions at their facility. The company aims to ensure customer satisfaction throughout the moving process.",,86,1-10M,11-50,2020-01-07,1800 Duane Avenue,Santa Clara,CA,95110,US,"+14086882351, +14088675309",info@themovingcompanyca.com,,2026-05-29,"{""B2B"": 0.96, ""B2C"": 0.93}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,The Moving,has_public,info@themovingcompanyca.com,catch_all,deliverable,info@themovingcompanyca.com,P0,done,Noticed that you’ve been running The Moving Company in Santa Clara since early 2020.
Revival Moving,revivalmoving.com,Full-Service Residential and Commercial Movers,1,2,CONSUMER_SERVICES:1.0,B2C:0.99,"contact revival:0.48, revival moving:0.47, moving experience:0.45, moving house:0.45, home services:0.44, location revivalmoving:0.43, care moving:0.43, experience customers:0.42, care belongings:0.39, service ensures:0.38, clients appreciate:0.38, services contact:0.37, excellence handling:0.36, simply bringing:0.35, thoughtful caring:0.35","Revival Moving is a moving service based in Stillwater, MN, specializing in residential and commercial moves. The company focuses on providing personalized and professional moving experiences, ensuring clients receive care for their belongings from the initial call to the final box. Key features include a commitment to clear communication, attention to detail, and customer satisfaction through positive reviews and over 80 5-star ratings on Google. They cater to various types of moves, including homes, apartments, senior living, and storage, catering to both individual customers and larger corporations.","https://facebook.com/revivalmoving, https://www.instagram.com/revivalmoving",88,1-10M,11-50,2021-01-14,,Stillwater,MN,,US,+16512789337,move@revivalmoving.com,,2026-05-16,"{""B2C"": 0.99}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,Revival Moving,has_public,move@revivalmoving.com,ok,skipped,move@revivalmoving.com,P0,done,Noticed that Revival Moving has been serving Stillwater since 2021 with a focus on senior living moves.
Déménagement La Nation,demenagementlanation.ca,Quebec Residential Commercial Movers,0.91,3,CONSUMER_SERVICES:1.0,"B2B:0.94, B2C:0.99","moving montreal:0.71, montreal movers:0.6, serviceareas montreal:0.6, nation montreal:0.56, montreal professional:0.51, residential moving:0.47, montreal title:0.45, moving services:0.44, movers south:0.43, moving needs:0.42, ville province:0.42, nagement la:0.4, north shore:0.38, demenagementlanation ca:0.37, departure apartment:0.36","Déménagement La Nation is a moving service based in Montreal that offers residential and commercial moving solutions. Their main services include packing, unpacking, storage, furniture assembly, and transportation for apartments, condos, houses, and offices. The company emphasizes professional support from experienced teams and provides tailored moving plans to meet individual customer needs. They operate throughout the South Shore and North Shore areas of the city.",https://www.facebook.com/demenagementlanation,75,<1M,11-50,2021-03-30,,Quebec,QC,,CA,+14389349493,"info@demenagementlanation.ca, contact@demenagementlanation.ca",,2026-05-19,"{""B2B"": 0.94, ""B2C"": 0.99}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,Déménagement La Nation,has_public,"info@demenagementlanation.ca, contact@demenagementlanation.ca",catch_all,deliverable,info@demenagementlanation.ca,P0,done,Not many Montreal moving companies have been tailoring plans across both the South Shore and North Shore since 2021.
"Hopkins & Sons, Inc.",hopkinsandsons.com,Virginia Maryland DC Moving Companies,0.56,4,CONSUMER_SERVICES:0.94,"B2B:0.79, B2C:0.97","hopkins moving:0.6, delaware hopkins:0.57, business hopkins:0.56, hopkins sons:0.54, hopkins service:0.53, truck hopkins:0.5, experience hopkins:0.47, process hopkins:0.46, hopkins team:0.45, relationships hopkins:0.45, sons moving:0.44, business moving:0.43, residential moving:0.41, moving storage:0.39, storage company:0.36","Hopkins & Sons, Inc. is a family-owned moving and storage company based in New Castle County, Delaware. They offer services for residential moves, corporate moves, and long-distance travel, providing virtual home surveys for accurate inventory of goods. Customers can receive an estimate typically within two business days by submitting their information to specialists or scheduling a move. The company emphasizes customer service and aims to build long-term relationships with its clients.","https://www.linkedin.com/company/hopkins-&-sons-inc-, https://www.linkedin.com/company/hopkins-sons-inc, https://www.facebook.com/hopkinsandsons",86,1-10M,11-50,2022-05-27,1 Bellecor Drive,New Castle,DE,19720,US,+13024140770,info@hopkinsandsons.com,,2026-05-30,"{""B2B"": 0.79, ""B2C"": 0.97}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,Hopkins & Sons,has_public,info@hopkinsandsons.com,ok,skipped,info@hopkinsandsons.com,P0,done,Noticed that Hopkins & Sons has been serving New Castle since 2022 with virtual home surveys for inventory.
Olympus Moving & Storage,olympusmoving.com,NYC Moving and Storage Services,1,86,CONSUMER_SERVICES:1.0,B2C:0.95,"olympus moving:0.56, moving storage:0.56, info olympusmoving:0.54, moving info:0.53, email moving:0.47, use moving:0.46, moving needs:0.45, local moving:0.44, submit moving:0.44, moving date:0.44, moving business:0.44, movers free:0.43, distance relocations:0.43, moving truck:0.42, moving field:0.42","Olympus Moving & Storage is a moving company that offers both local and long-distance relocation services. They provide free estimates, on-site estimates, and tailored packing solutions for various types of moves, including studio, one bedroom, and larger moves over 100 miles. Key features include flat rate pricing with exact pick-up and delivery dates, exclusive truck use, and the ability to schedule video calls for personalized assistance during the move process. The company emphasizes customer satisfaction and aims to ensure a hassle-free experience for all clients.",,86,1-10M,11-50,2020-10-14,174 9Th St,Brooklyn,NY,11215,US,"+18882177221, +17187881990, +17187881991",info@olympusmoving.com,,2026-06-08,"{""B2C"": 0.95}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,Olympus Moving & Storage,has_public,info@olympusmoving.com,ok,skipped,info@olympusmoving.com,P0,done,Noticed that Olympus Moving & Storage in Brooklyn offers exclusive truck use with exact pick-up and delivery dates.
Private Moving Corporation,private-moving.com,NYC Moving and Storage Services,0.77,86,CONSUMER_SERVICES:1.0,"B2B:0.88, B2C:0.92","private moving:0.57, moving com:0.55, mover residential:0.52, residential moving:0.52, moving corporation:0.51, moving buy:0.48, moving phone:0.47, moved 125:0.44, moving contact:0.44, moving commercial:0.42, location delivery:0.41, carry fee:0.36, services quote:0.34, customer closing:0.32, ny 11229:0.31","Private-Moving.com is a moving company that offers a range of services for both residential and commercial moves, including long distance moving, local moving, and packing supplies. Their main functionality includes providing tailored moving plans, efficient packing assistance, and 24/7 support to ensure customer satisfaction throughout the move process. Key features include free estimates, no assembly fees, and a selection of packing materials such as clothing and fragile items, along with subscription options for additional resources like packing tape and furniture boxes.",,83,1-10M,11-50,2019-05-31,1723 East 12Th St,Brooklyn,NY,11229,US,+19299995774,"sales@private-moving.com, info@private-moving.com, serge@private-moving.com",,2026-06-05,"{""B2B"": 0.88, ""B2C"": 0.92}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,Private Moving,has_public,"sales@private-moving.com, info@private-moving.com, serge@private-moving.com",ok,skipped,sales@private-moving.com,P0,done,Noticed that Private Moving has been serving Brooklyn with tailored moving plans since 2019.
R-Way Moving & Storage,rwaymoving.com,NYC Moving and Storage Services,0.76,86,CONSUMER_SERVICES:1.0,"B2B:0.99, B2C:0.94","moving service:0.56, moving storage:0.56, home moving:0.54, belongings transporting:0.52, storage contact:0.49, moving families:0.48, personalized moving:0.47, commercial storage:0.46, professional moving:0.45, moving local:0.45, moving plan:0.45, way moving:0.44, moving crews:0.44, info rwaymoving:0.42, delivering reliability:0.32","R-Way Moving & Storage is a family-owned business that provides moving services for both local and long-distance moves. They offer packing, storage, and repair services for items such as furniture, clothing, electronics, and appliances. The company emphasizes personalized customer service, professional crews, and ensuring the valuables are in good condition before being shipped. R-Way has been serving customers for 50 years, focusing on reliability and customer satisfaction throughout the moving process.",,247,1-10M,11-50,2017-09-27,59 East Central Avenue,Pearl River,NY,10965,US,,info@rwaymoving.com,,2026-06-02,"{""B2B"": 0.99, ""B2C"": 0.94}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,R-Way Moving & Storage,has_public,info@rwaymoving.com,ok,skipped,info@rwaymoving.com,P0,done,Noticed that R-Way Moving & Storage in Pearl River has been handling repairs alongside moves since 2017.
