Domain,Company,company_clean,public_emails_clean,Industry Groups,Employees,City,State,Country,Description,Plan,Revenue Est Monthly,Store Age Years,Product Count,App Spend Mo,Key Apps,Tech Stack,Trustpilot Rating,Trustpilot Reviews,Migrated From,Social Followers,Features,segment,query_name,ingested_at,Source,MV P0,BB,Final Email,Status,Israeli DTC Shopify 10k+ - Contacts - 2026-07-19
prospecbio.com,ProSpec,ProSpec,"info@prospecbio.com, order@prospecbio.com",/Business & Industrial/Pharmaceuticals & Biotech,,Rehovot,Center District,IL,ProSpec-Tany TechnoGene Ltd. is a leading biotechnology company with over 30 years of extensive experience in recombinant protein production which result in a robust protein portfolio that is crucial to global science research,Shopify Plus,447117,5.4,7035,50,"Shopify Checkout Blocks, XO Insert Code, Multifeed Google Shopping Feed, Brevo PushOwl: Email,Push,SMS, Brevo","Arrive, Cloudflare, Cloudflare CDN, Google Ads Pixel, Google Adsense",,,,,"Shopify Online Store 2.0, Product Page Video Tag, New Shopify Checkout (2022), Accepts Gift Cards, Contact Page",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,nadavamarantprospecbio.com
renuar.co.il,Renuar,Renuar,"https://www.tiktok.com/@renuar_fashion, info@renuar.co.il",/Apparel,190,Rishon LeTsiyon,Center District,IL,"ברוכים הבאים לאתר רנואר -בגדים ונעליים לנשים וגברים מהטרנדים הכי חמים! כאן תמצאו אאוטפיט לכל מטרה - אירועים מיוחדים, עבודה, יומיום או לים - הכל במקום אחד, אונליין.",Shopify Plus,453449,5.9,821,20,"Shopify Checkout Blocks, SendWILL Popup Email Marketing, Notify Me, Back in Stock: SW, Essent FreeShipping Upsell App, Kiwi Size Chart & Recommender","Arrive, Cloudflare, Cloudflare CDN, Criteo, Flashy",,,,TT 41k,"Shopify Online Store 2.0, New Shopify Checkout (2022), Contact Page, Store Locator Page, Cryptocurrency Messaging",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,"masharodovrenuar.co.il,oferrapaportrenuar.co.il,sommerrenuar.co.il,gilhallalirenuar.co.il,hallalirenuar.co.il,vladimirgodelmanrenuar.co.il"
weshoes.co.il,weshoes.co.il,weshoes.co.il,"info@weshoes.co.il, https://www.tiktok.com/@weshoes_il",/Apparel/Footwear,3,Petah Tikva,Center District,IL,"המותגים המובילים במחירי מבצע אצלנו ב-Weshoes! נעלי ספורט, סנדלים ונעלי עבודה, לנשים, גברים וילדים הכל במקום אחד! רכישה אונליין ומשולח עד הבית >>",Shopify Plus,246397,6.9,3796,212,"Adoric Bundles Volume discount, AdScale AI Ads Meta/Google Ads, Firewall ‑ Store Shield, Preorder, Back In Stock ‑ STOQ, Persistent Cart ‑ Sync Devices","Arrive, Cloudflare, Cloudflare CDN, Criteo, Facebook Pixel",,,,TT 9.9k,"Returns Page, Store Locator Page, Shopify Online Store 2.0, New Shopify Checkout (2022), Accepts Gift Cards",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,amoshorowitzweshoes.co.il
unpacked.media,to Unpacked,to Unpacked,"donations@unpacked.media, hello@unpacked.media",/People & Society,,,,IL,"Unpacked helps you uncover the complex Jewish world. Get articles, videos and podcasts that break down the complicated issues here and help make you a more interesting Jew.",,991027,4.2,1702,,"Buy Button channel, MailerLite Email Automation, Rokt Ecommerce","Cloudflare, Facebook Pixel, Google Ads Pixel, Google Adsense, Google Analytics",,,,X 174,"Tracking Page, Career Page, Storefront API, Tracking or Returns, Returns Page",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,
gentleman.co.il,gentleman.co.il,gentleman.co.il,"https://www.youtube.com/@gentleman.originals, https://www.tiktok.com/@gentleman.il, cs@gentleman.co.il, cs@gentkeman.co.il, info@gentleman.co.il, marketing@gentleman.co.il, web@gentleman.co.il",/Gifts & Special Events,,Rishon LeTsiyon,Center District,IL,"ג'נטלמן - רשת המתנות לגבר הגדולה בישראל. מתנות איכותיות ומקוריות שנבחרו בקפידה, במטרה לרגש ולשמח את האהובים שלכם לרשת יש סניפים ברחבי הארץ מציעה מגוון רחב וייחודי של מותגי שעונים, תכשיטים, ארנקים, תיקים, מציתים, עטים, משחקים וגאדג'טים חדשניים. תבחרו מתנה ואנחנו נדאג לעטוף, לבצע חריטה, להוסיף פתק ברכה ולשלוח אליכם",,228225,5.8,3613,24,"Adoric Popup & Email Popups, AdScale AI Ads Meta/Google Ads, UpPromote Affiliate Marketing, ADU: Automatic Discounts, Infinite Product Options","Arrive, Cloudflare, Cloudflare CDN, Google Ads Pixel, Google Adsense",,,,TT 422k,"Contact Page, Shopify Online Store 2.0, New Shopify Checkout (2022), Accepts Gift Cards, Brands Page",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,razgentleman.co.il
postdigitalarchitecture.com,Post Digital Architecture,Post Digital Architecture,postdigitalarch@gmail.com,/Arts & Entertainment/Visual Art & Design/Architecture,,Haifa,Haifa District,IL,"Download CAD blocks, PNG cutouts, vector resources, Revit and Archicad assets for architectural drawings, collages and presentations.",,234269,5.2,798,59,"BUCKS Currency Converter PRO++, Pandectes GDPR Compliance, Judge.me Product Reviews App, Loox ‑ Product Reviews App, Mailchimp Email SMS Marketing","Cloudflare, Cloudflare CDN, Google Ads Pixel, Google Adsense, Mailchimp",,,,PIN 346,"Shopify Online Store 2.0, Has Blog",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,
pandazzz.co.il,PandaZzz,PandaZzz,"support@pandazzz.com, https://www.tiktok.com/@pandazzz_il",/Home & Garden/Bed & Bath,6,Herzliya,Tel Aviv District,IL,"מוצרי השינה שלנו פותחו בטכנולוגיה חדשנית כדי להעניק לכם חווית שינה שלא הכרתם. על כל המזרנים יש 12 שנות אחריות, הזמינו עכשיו ונסו בביתכם ל-100 לילות, המשלוח חינם.",Shopify Plus,218656,7.9,98,209,"Dcode ‑ Discount codes in Cart, GOAFFPRO ‑ Affiliate Marketing, Klaviyo: Email Marketing & SMS, KNO Post Purchase Surveys, LoyaltyLion Loyalty Program","Arrive, Cloudflare, Cloudflare CDN, GoAffPro, Google Ads Pixel",,,,,"Shopify Online Store 2.0, Product Page Video Tag, New Shopify Checkout (2022), Accepts Gift Cards, Tracking or Returns",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,"adirtamirpandazzz.co.il,zivsalomonpandazzz.co.il,talben-aripandazzz.co.il"
beezzit.com,Beezzit,Beezzit,info@beezzit.com,/Home & Garden/Kitchen & Dining/Cookware & Diningware,,Ra'anana,Center District,IL,"Discover a world of bee-themed merchandise at Beezzit. From unique apparel and jewelry to home decor and honey jars, we offer high-quality products for bee lovers and beekeepers. Shop now and support bee conservation!",,247076,2.1,120,,"Tapita AI SEO Optimizer, Speed, Judge.me Product Reviews App, OptiMonk: AI Popup Builder, Printify: Print on Demand, Amp Slide Cart Upsell Drawer","Arrive, Cloudflare, Cloudflare CDN, Facebook Pixel, Google Ads Pixel",4.2,24,,,"Contact Page, Free Returns, New Shopify Checkout (2022), Tracking or Returns, Tracking Page",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,
columbia.co.il,Columbia,Columbia,service@columbia.co.il,/Apparel,25103,,,IL,"האתר הרשמי של קולומביה – ביגוד, הנעלה, אקססוריז לספורט שטח, טיולים, סקי וסנובורד ופנאי. קולקציית קיץ 2026 מחכה לכם באתר קולומביה ובחנויות הרשת.",Shopify Plus,303012,5.9,1189,,"Kaching Bundles App & Upsells, CartWizard: All‑in‑1 Discounts, GSC Countdown Timer Bar, Instafeed ‑ Instagram Feed, Kiwi Size Chart & Recommender","Arrive, Cloudflare, Cloudflare CDN, Facebook Pixel, Flashy",,,demandware (2025),,"Shopify Online Store 2.0, New Shopify Checkout (2022), Contact Page, Tracking or Returns, Tracking Page",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,
padani.com,padani.com,padani.com,sales@padani.com,/Apparel/Clothing Accessories,1,Tel Aviv-Yafo,Tel Aviv District,IL,"Designer, luxurious and one of a kind jewelry from the Padani factory. The Padani chain is the exclusive representative in Israel of well-known watch brands and luxury jewelry.",,248443,6.0,2934,135,"Amp: Back in Stock & PreOrder+, SEOWILL ‑ 404 Link Redirect, Helium Customer Fields, Beast Currency Converter, Pandectes GDPR Compliance","Arrive, Cloudflare, Cloudflare CDN, Criteo, Facebook Pixel",,,,,"Shopify Online Store 2.0, Cryptocurrency Messaging, Product Page Video Tag, New Shopify Checkout (2022), Accepts Gift Cards",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,"yuliagilorpadani.com,simonetabibianpadani.com,leakhalepski-griguerpadani.com"
foxhome.co.il,FOX HOME,FOX HOME,"wecare@foxhome.co.il, https://www.youtube.com/@foxhome5010",/Home & Garden/Home Furnishings,,,,IL,"FOXHOME הינה רשת חנויות המציעה מגוון מוצרים בתחומי המטבח, אירוח ושולחן, טקסטיל, אמבטיה ונוי. היכנסו והזמינו דרך האתר מוצרים שישדרגו את הבית שלכם!",Shopify Plus,555258,6.8,1457,5,"Bundler ‑ Product Bundles App, Back In Stock,Notify Me: Kbite, Easy:Stock ‑  Product Labels, Essential Countdown Timer Bar, GSC Countdown Timer Bar","Arrive, Cloudflare, Cloudflare CDN, Flashy, Google Ads Pixel",,,magento (2025),,"Shopify Online Store 2.0, New Shopify Checkout (2022), Contact Page, Tracking or Returns, Returns Page",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,
meanwell-ps.com,meanwell-ps.com,meanwell-ps.com,"info@meanwellil.shop, service@meanwell-ps.com",/Computers/Electronics & Electrical/Power Supplies,,Kefar Sava,Center District,IL,"MEAN WELL Power -MEAN WELL Authorized Distributors-Focusing on the standard SPS market, MEAN WELL carries over 9,000 models of standard power supply products, to provide the power solutions for all types of applications.",,262268,6.3,5611,,"Blockify Fraud Filter, Blocker, Blockify Age Verification 18+, Qteedy, Nova: GDPR Cookie Consent, AWIO Improved Contact Form","Arrive, Cloudflare, Cloudflare CDN, Facebook Pixel, Google Ads Pixel",,,,,"Shopify Online Store 2.0, New Shopify Checkout (2022), Contact Page, Tracking or Returns, Returns Page",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,
beijaflorworld.com,Beija Flor,Beija Flor,"info@beijaflorworld.com, office@beijaflorworld.com",/Home & Garden/Home & Interior Decor,6,Hukok,North District,IL,"Fine Vinyl Design - decorative vinyl mats for your floors, tables, and walls. Come check out our shop and see our inspiration gallery.",,164940,7.5,504,10,"BUCKS Currency Converter PRO++, LockOn‑ Restrict Store, Dr Stacked Discounts Codes, SparkLayer B2B & Wholesale, SE Wishlist Engine","Arrive, Cloudflare, Cloudflare CDN, Facebook Pixel, Flashy",3.2,2,woocommerce (2024),,"Tracking Page, Wholesale/Retailers Page, Shopify Online Store 2.0, Product Page Video Tag, New Shopify Checkout (2022)",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,assabeijaflorworld.com
fashionclub.co.il,Fashion Club,Fashion Club,"https://www.tiktok.com/@fashionclubil, info@fclub.co.il",/Apparel | /Apparel/Women's Clothing,1,Or Yehuda,Tel Aviv District,IL,"רשת Fashion Club מציעה קולקציות טרנדיות לנשים וגברים עם דגמים הורסים שמתחדשים כל הזמן. לרכישה אונליין של בגדים שווים במיוחד במחירים הוגנים, הקליקו",Shopify Plus,316333,8.0,425,64,"Amp: Back in Stock & PreOrder+, Breadcrumbs Uncomplicated, Checkout Buddy, CodeInspire Accessibility Tool, Gist | Gift Card Pro Tools","Arrive, Cloudflare, Cloudflare CDN, Google Ads Pixel, Google Tag Manager",,,woocommerce (2025),TT 19k,"Shopify Online Store 2.0, New Shopify Checkout (2022), Accepts Gift Cards, Contact Page, FAQ Page",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,
stevemadden.co.il,Steve Madden Israel,Steve Madden Israel,"info@stevemadden.co.il, https://www.youtube.com/@stevemadden, stevemaddenvip@inter-jeans.co.il",/Apparel,2238,Holon,Center District,IL,"נעלי נשים מבית סטיב מאדן - קולקציית 2026! משלוחים חינם בקנייה מעל 299 ש""ח. ביגוד ותיקים לנשים, נעליים לגברים ונעליים לילדים. היכנסו למגוון דגמים היסטריים!",Shopify Plus,259390,9.6,3105,93,"Amp: Back in Stock & PreOrder+, Shopify Checkout Blocks, Covet Instagram Feed & Reviews, Growave: Loyalty & Wishlist, Socialwidget ‑ Instagram Feed","Arrive, Cloudflare, Cloudflare CDN, Facebook Pixel, Google Ads Pixel",,,,X 65k / PIN 64k / YT 31k,"Shopify Online Store 2.0, New Shopify Checkout (2022), Accepts Gift Cards, Contact Page, Tracking or Returns",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,
safariaudio.com,Safari Audio,Safari Audio,"https://www.youtube.com/@safaripedals, https://www.tiktok.com/@safaripedals, info@safariaudio.com",,,Tel Aviv-Yafo,Tel Aviv District,IL,"Unleash your musical animal with Safari Audio! Our unique pedal designs and wild plugins try to inspire playfulness and creativity, letting you express your inner sonic animal. Dive into a world where plugins aren't just tools, but gateways to experimentation and artistic freedom. Join the studio animals!",,149676,0.5,50,160,"UpPromote Affiliate Marketing, Alia: Email & SMS Popups, C:Hub Customer Accounts, Judge.me Product Reviews App, Klaviyo: Email Marketing & SMS","Apple Pay, Arrive, Cloudflare, Cloudflare CDN, Facebook Pixel",,,,TT 763,"Shopify New Customer Accounts, FAQ Page, Shopify Online Store 2.0, New Shopify Checkout (2022), Accepts Gift Cards",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,"asherfranksafariaudio.com,dekelcohensafariaudio.com,itayellasafariaudio.com"
davosa-usa.com,Davosa Swiss Watches,Davosa Swiss Watches,info@davosa-usa.com,/Apparel/Clothing Accessories,,Tel Aviv-Yafo,Tel Aviv District,IL,Davosa Swiss Watches - Top quality automatic and quartz watches - Swiss made,,298088,9.4,450,37,"Google Ads Pixel by Nabu, BON Loyalty Program & Rewards, Clarity Session Replay Heatmap, SendWILL Popup Email Marketing, Notify Me, Back in Stock: SW","Arrive, Cloudflare, Cloudflare CDN, Flashy, Google Ads Pixel",,,,X 117 / PIN 156,"Career Page, Contact Page, International Shipping, Shopify Online Store 2.0, Free Returns",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,
shviro.net,www.shviro.net,www.shviro.net,"info@shviro.net, service@shviro.net, marketing@shviro.net",/Home & Garden/Yard & Patio | /Home & Garden/Home Furnishings,,Bnei Brak,Tel Aviv District,IL,"ריהוט גן איכותי ומעוצב עכשיו במבצע HOT SUMMER - ריהוט ב- 20% הנחה! בואו להתחדש עם מגוון קולקציות של רהיטי גן יוקרתיים: פינות ישיבה, פינות אוכל, שולחנות, גזיבו ועוד'",,196279,9.3,226,5,"Claspo Email Pop Up Spin Wheel, Essential Countdown Timer Bar, FUGU ‑ Every Payment Counts, Instafeed ‑ Instagram Feed, Poptin Exit Popup Email Pop Up","Arrive, Claspo, Cloudflare, Cloudflare CDN, Facebook Pixel",,,woocommerce (2023),PIN 85,"Shopify New Customer Accounts, Shopify Online Store 2.0, Product Page Video Tag, New Shopify Checkout (2022), Contact Page",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,
addictonline.co.il,addictonline.co.il,addictonline.co.il,info@addictonline.co.il,/Apparel,10,Ramat Hasharon,Tel Aviv District,IL,"משלוחים מהירים לכל הארץ — טופים, חליפות, מכנסיים, אוברולים, נעליים ואקססוריז - כל מה שאת מחפשת נמצא אצלנו באונליין. תגידי היוש למלתחה החדשה שלך- הפריטים הכי מאסט אצלנו באונליין, משלוח חינם בהזמנה מעל ₪300. מכנסיים. חצאיות. שמלות. חליפות. אוברולים. ג'קטים.",Shopify Plus,357529,6.2,1300,183,"Amp: Back in Stock & PreOrder+, Ablestar Bulk Product Editor, Checkout Buddy, Shopacado ‑ Volume Discounts, Appikon ‑ Back In Stock","Arrive, Cloudflare, Cloudflare CDN, Facebook Pixel, Google Ads Pixel",,,woocommerce (2022),,"Shopify Online Store 2.0, New Shopify Checkout (2022), Accepts Gift Cards, Contact Page, Tracking or Returns",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,
toolpilot.ai,ToolPilot AI,ToolPilot AI,"https://www.youtube.com/@toolpilotai, https://www.tiktok.com/@toolpilotai, contact@toolpilot.ai",/Games,,Or Yehuda,Tel Aviv District,IL,"Discover, Explore, and Elevate your AI journey with ToolPilot, the ultimate AI Tools directory. Unleash the power of artificial intelligence and find the top AI Tools for your projects reviewed and ranked.",,130620,3.1,3074,5,"Accessibly, Blockify Fraud Filter, Blocker, Blockify Age Verification 18+, Judge.me Product Reviews App, SKYOU","Arrive, Cloudflare, Cloudflare CDN, Facebook Pixel, Google Ads Pixel",4.1,5,,PIN 2 / TT 438,"FAQ Page, Shopify Online Store 2.0, Has iOS App, Has Android App, Cryptocurrency Messaging",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,orenarzonytoolpilot.ai
gottex.co.il,Gottex Israel,Gottex Israel,"contact@gottex.co.il, accessibility@gottex.co.il, storescs@gottexmodels.com",/Apparel,,Or Yehuda,Tel Aviv District,IL,"בגדי ים והלבשת פנאי מבית גוטקס! באתר תוכלי למצוא בגדי ים, בגד ים ביקיני, בגד ים שלם, בגדי ספורט, פיג'מות, אקססוריז ועוד! היכנסי לאתר ותמצאי את בגד הים הבא שלך עם משלוח עד הבית, מחירי מבצע והנחות בלעדיות!",,301614,7.1,2191,235,"Add Social Feed on Website, Google Tag Manager by Niddocks, Elevar Conversion Tracking, Kiwi Size Chart & Recommender, Mailchimp Email SMS Marketing","Arrive, Cloudflare, Cloudflare CDN, Elevar, Flashy",,,,,"Shopify New Customer Accounts, Tracking Page, Shopify Online Store 2.0, Product Page Video Tag, New Shopify Checkout (2022)",has_public,Israeli DTC Shopify 10k+,2026-07-19T19:48:56.962+03:00,Storeleads,,,,,"chananelituvgottex.co.il,joeyschwebelgottex.co.il,nirshammaygottex.co.il"
