Domain,query_name,segment,Name,company_clean,icp_fit,industry_groups,business_model,Score,similarity,revenue_range,employees,start_date,City,State,Country,phones,public_emails,description,batch_id,emails_ok_count,emails_catchall_count,contacts_with_ok,reachable_status,public_emails_clean,ingested_at,Final Email,MV,BB,Status
liftandloadmoving.com,General Moving Companies in US / CA,has_public,Lift & Load Moving,Lift & Load Moving,yes,CONSUMER_SERVICES:0.99,"B2B:0.94, B2C:0.99",49,,1-10M,11-50,2024-03-10,Chicago,IL,US,+12244040069,"piotr@liftandloadmoving.com, contact@liftandloadmoving.com","Lift & Load is a moving company based in Des Plaines, IL, offering a range of services for local and long-distance moves in the Chicago area. Their main functionalities include packing, transportation, unpacking, junk removal, and storage solutions. With over 10 years of experience, their team handles all aspects of the moving process, ensuring efficient and stress-free experiences tailored to each client's needs. They also provide transparent pricing with no hidden fees and emphasize customer s",moveplnr-2026-05-29-companies-batch100-1,0,2,0,catchall_only,"contact@liftandloadmoving.com, piotr@liftandloadmoving.com",2026-05-29,contact@liftandloadmoving.com,catch_all,deliverable,done
puremovers.com,General Moving Companies in US / CA,has_public,Pure Moving & Storage Inc.,Pure Moving & Storage,yes,CONSUMER_SERVICES:1.0,"B2B:0.93, B2C:0.97",100,,1-10M,1-10,2018-07-09,Los Angeles,CA,US,"+13239164206, +18008165121",info@puremovers.com,"Pure Moving Company offers a range of moving services for both residential and long-distance moves. Their main functionality includes local, long- distance, packing, furniture moving, and specialized moving for military personnel and seniors. Key features include an upfront pricing model with no hidden fees, on-time arrival, secure packing solutions, and a commitment to customer service throughout the move process. They also provide same-day moving options and emphasize transparency in their pri",moveplnr-2026-05-29-companies-batch100-1,0,1,0,catchall_only,info@puremovers.com,2026-05-29,info@puremovers.com,catch_all,deliverable,done
aleromoving.com,General Moving Companies in US / CA,has_public,Alero Moving & Storage,Alero Moving & Storage,yes,CONSUMER_SERVICES:0.99,"B2B:0.98, B2C:0.92",206,,N/A,11-50,2016-03-14,Regina,SK,CA,"+12047790714, +13067576022, +14032430448, +16475461068, +18772644626","keith@aleromoving.com, amanda@twoamigos.com, kevin@twoamigos.com, kevin@aleromoving.com, kurt@aleromoving.com, amanda@aleromoving.com, chrisg@aleromoving.com, contact@aleromoving.com, keith@twoamigos.com","Alero Moving & Storage is a moving company that offers a range of services for residential and commercial clients in Canada. Their main functionalities include local, long-distance, and international relocation, as well as specialized packing, storage, and warehousing solutions. Key features include free estimates, expert moving consultants, and a variety of specialty items such as pianos, vehicles, furniture, and large appliances. Alero also provides third-party logistics (3PL) services and has",moveplnr-2026-05-29-companies-batch100-1,0,6,0,catchall_only,"amanda@aleromoving.com, chrisg@aleromoving.com, contact@aleromoving.com, keith@aleromoving.com, kevin@aleromoving.com, kurt@aleromoving.com",2026-05-29,amanda@aleromoving.com,catch_all,deliverable,done
longdistancemovers.com,General Moving Companies in US / CA,has_public,Long Distance Movers,Long Distance Movers,yes,CONSUMER_SERVICES:1.0,B2C:0.95,204,,1-10M,1-10,2018-06-01,Los Angeles,CA,US,+12534806776,info@longdistancemovers.com,"Long Distance Movers is a moving company that offers a range of services for long-distance moves across the United States. Their main functionalities include auto transport, packing, and storage services, all tailored to meet individual needs. Key features include real-time tracking, 24/7 customer support, transparent pricing with no hidden fees, and white glove handling of belongings. They also provide moving insurance coverage to protect clients' assets during relocation.",moveplnr-2026-05-29-companies-batch100-1,0,1,0,catchall_only,info@longdistancemovers.com,2026-05-29,info@longdistancemovers.com,catch_all,deliverable,done
flash-moving.com,General Moving Companies in US / CA,has_public,Flash Moving,Flash Moving,yes,CONSUMER_SERVICES:1.0,"B2B:0.95, B2C:0.93",48,,1-10M,1-10,2017-10-10,Pasadena,CA,US,"+16267277675, +18886604351","info@flash-moving.com, sales@flash-moving.com","Flash Moving is a professional moving company based in Los Angeles that offers a variety of relocation services for local, long-distance, and commercial moves. Their main functionalities include packing, transporting heavy items, providing labor only services, and offering specialized services like piano moving and appliance moving. Key features include personalized service, transparent pricing with no hidden fees, and a commitment to customer satisfaction through careful planning and handling o",moveplnr-2026-05-29-companies-batch100-1,0,2,0,catchall_only,"info@flash-moving.com, sales@flash-moving.com",2026-05-29,info@flash-moving.com,catch_all,deliverable,done
junkscape.app,General Moving Companies in US / CA,has_public,JunkScape,JunkScape,partial,"CONSUMER_SERVICES:0.9, ENVIRONMENTAL_SERVICES:0.09","B2B:0.98, B2C:0.97",36,,1-10M,11-50,2024-08-23,Virginia,VA,US,+15714360668,"customer-service@junkscape.app, management@junkscape.app","JunkScape offers a range of indoor and outdoor property services in Northern Virginia, DC, and Maryland. Their main functionalities include junk removal, professional moving, landscaping, power washing, snow removal, and tree removal. Key features include eco-friendly decluttering options, smart storage solutions, and seasonal maintenance services to maintain properties effectively after disasters or renovations. Customers can book appointments online for various property needs, including moving",moveplnr-2026-05-29-companies-batch100-1,0,2,0,catchall_only,"customer-service@junkscape.app, management@junkscape.app",2026-05-29,customer-service@junkscape.app,catch_all,deliverable,done
minimovesandmore.com,General Moving Companies in US / CA,has_public,Mini Moves & More,Mini Moves & More,yes,CONSUMER_SERVICES:0.99,"B2B:0.98, B2C:0.93",149,,1-10M,11-50,2018-06-15,Arlington,MA,US,+17816469000,info@minimovesandmore.com,"Mini Moves & More is a moving company based in the Greater Boston, MA area that offers a variety of moving services for residential and commercial relocations. Their main functionalities include packing, unpacking, storage solutions, and specialized moving services such as furniture disassembly and staging. They provide free estimates within 24 hours and cater to different needs, including special discounts for seniors and military personnel, ensuring a smooth transition to new locations. The te",moveplnr-2026-05-29-companies-batch100-1,0,1,0,catchall_only,info@minimovesandmore.com,2026-05-29,info@minimovesandmore.com,catch_all,deliverable,done
twoamigos.com,General Moving Companies in US / CA,has_public,Two Amigos Moving and Storage,Two Amigos Moving and Storage,yes,CONSUMER_SERVICES:1.0,"B2B:0.98, B2C:0.95",62,,10-100M,1-10,2017-02-14,Winnipeg,MB,CA,"+18772644626, +12047790714, +13067576022, +14032430448, +16475461068","chrisg@aleromoving.com, kevin@twoamigos.com, amanda@twoamigos.com, contact@twoamigos.com, keith@twoamigos.com, kurt@twoamigos.com","Two Amigos Moving and Storage is a moving company in Canada that offers residential, commercial, and long-distance moving services. Their main functionalities include local and international moves, packing and unpacking, storage solutions, and specialized move management for items like pianos, vehicles, and furniture. They provide free estimates, expert guidance throughout the moving process, and ensure all necessary logistics are handled efficiently by their team of movers. With over 34 years o",moveplnr-2026-05-29-companies-batch100-1,0,5,0,catchall_only,"amanda@twoamigos.com, contact@twoamigos.com, keith@twoamigos.com, kevin@twoamigos.com, kurt@twoamigos.com",2026-05-29,amanda@twoamigos.com,catch_all,deliverable,done
crosscountrymovers.com,General Moving Companies in US / CA,has_public,Cross Country Movers,Cross Country Movers,yes,CONSUMER_SERVICES:1.0,B2C:0.98,233,91,10-100M,1-10,2018-03-15,Tarzana,CA,US,+18006110502,info@crosscountrymovers.com,"Cross Country Movers is a full-service moving company that offers both local and international relocation services across the United States. Their main functionalities include professional packing, real-time tracking, car shipping, storage, and insurance options. They provide a flat price guarantee, timely pick-up and drop-off, and handle all aspects of the move, from packing to storage. The team is trained to ensure safety and reliability during moves, and they are fully licensed and insured fo",moveplnr-2026-05-29-companies-batch500-1,0,1,0,catchall_only,info@crosscountrymovers.com,2026-05-29,info@crosscountrymovers.com,catch_all,deliverable,done
legendmovers.org,General Moving Companies in US / CA,has_public,Legend Movers,Legend Movers,yes,CONSUMER_SERVICES:1.0,"B2B:0.79, B2C:0.97",45,91,1-10M,11-50,2022-06-03,Richardson,TX,US,+18333210399,info@legendmovers.org,"Legend Movers is a moving company based in Dallas that offers a variety of relocation services for individuals and businesses. Their main functionalities include local, long-distance, furniture, office, apartment, and piano relocations, as well as storage solutions. Customers can request a free quote, schedule a move with flexible scheduling, and receive assistance with packing and unpacking. The company emphasizes transparent pricing with no hidden fees, experienced movers, and a fleet of well-",moveplnr-2026-05-29-companies-batch500-1,0,1,0,catchall_only,info@legendmovers.org,2026-05-29,info@legendmovers.org,catch_all,deliverable,done
wemoveondemand.com,General Moving Companies in US / CA,has_public,We Move On Demand,We Move On Demand,yes,CONSUMER_SERVICES:1.0,"B2B:0.97, B2C:0.89",145,91,1-10M,11-50,2016-12-23,Boca Raton,FL,US,+15612127570,move@wemoveondemand.com,"We Move on Demand is a moving company that offers a range of services for residential, commercial, and long-distance moves across Florida. Their main functionality includes providing packing, transportation, storage solutions, and customer support tailored to individual needs. The team consists of trained professionals who prioritize safety and customer satisfaction, ensuring a smooth moving experience for clients. They also offer free estimates and provide moving supplies to help manage the log",moveplnr-2026-05-29-companies-batch500-1,0,1,0,catchall_only,move@wemoveondemand.com,2026-05-29,move@wemoveondemand.com,catch_all,deliverable,done
haulingox.com,General Moving Companies in US / CA,has_public,Hauling Ox Moving,Hauling Ox Moving,yes,CONSUMER_SERVICES:1.0,"B2B:0.86, B2C:0.97",81,91,<1M,1-10,2023-01-17,Toronto,ON,CA,+14167326370,info@haulingox.com,"Hauling Ox is a moving company based in the Greater Toronto Area that offers residential and commercial moving services. Their main functionalities include packing, loading, and transportation for various moves, as well as specialized equipment moving. They focus on providing transparent pricing with no hidden fees, ensuring customer satisfaction throughout the moving process. HaulingOx also emphasizes safety and professionalism, handling difficult moves while maintaining a commitment to quality",moveplnr-2026-05-29-companies-batch500-1,0,1,0,catchall_only,info@haulingox.com,2026-05-29,info@haulingox.com,catch_all,deliverable,done
tricolongdistancemovers.com,General Moving Companies in US / CA,has_public,Trico Long Distance Movers,Trico Long Distance Movers,yes,CONSUMER_SERVICES:0.99,"B2B:0.87, B2C:0.98",360,91,N/A,1-10,2017-04-05,Los Angeles,CA,US,"+13233791334, +18776668464",info@tricolongdistancemovers.com,"Trico Long Distance Movers is a moving company that specializes in long-distance moving and auto transport services for both residential and commercial clients. They offer a range of services including packing, storage, and transportation, ensuring a streamlined and secure relocation process. Customers can easily book moving jobs online or by phone, with flat pricing based on the service chosen, and they provide door-to-door moving packages to minimize stress during the move. Trico also offers i",moveplnr-2026-05-29-companies-batch500-1,0,1,0,catchall_only,info@tricolongdistancemovers.com,2026-05-29,info@tricolongdistancemovers.com,catch_all,deliverable,done
nextmoving.com,General Moving Companies in US / CA,has_public,Next Moving,Next Moving,yes,CONSUMER_SERVICES:1.0,"B2B:0.97, B2C:0.9",142,91,1-10M,1-10,2018-08-06,Pasadena,CA,US,+18004331541,"info@nextmoving.com, clients@nextmoving.com","Next Moving is a moving company that offers local, long-distance, and virtual moving services. They provide accurate estimates for moves over 100 miles and offer secure storage solutions tailored to various sizes of belongings. Their team is trained to handle all aspects of the move, including packing, furniture assembly, and insurance options, ensuring smooth and safe moving experiences. The company emphasizes customer satisfaction through transparent pricing and experienced movers.",moveplnr-2026-05-29-companies-batch500-1,0,2,0,catchall_only,"clients@nextmoving.com, info@nextmoving.com",2026-05-29,clients@nextmoving.com,catch_all,deliverable,done
boxednloadedmoving.com,General Moving Companies in US / CA,has_public,Boxed N' Loaded Moving,Boxed N' Loaded Moving,yes,CONSUMER_SERVICES:1.0,"B2B:0.86, B2C:0.98",43,91,1-10M,11-50,2025-04-14,Atlanta,GA,US,+14706378359,info@boxednloadedmoving.com,"Boxed N' Loaded Moving is a moving service that offers residential and commercial relocation solutions. They provide professional packing, unpacking, and storage services tailored to various needs, from small homes to large estates. Key features include same-day delivery, guaranteed on-time arrival, real-time tracking of shipments, and a focus on customer satisfaction with a strong background check for security. The company has over 35 years of experience and serves clients across Atlanta and be",moveplnr-2026-05-29-companies-batch500-1,0,1,0,catchall_only,info@boxednloadedmoving.com,2026-05-29,info@boxednloadedmoving.com,catch_all,deliverable,done
readytogomoving.com,General Moving Companies in US / CA,has_public,Ready to Go Moving,Ready to Go Moving,yes,CONSUMER_SERVICES:1.0,"B2B:0.97, B2C:0.98",33,91,1-10M,1-10,2021-03-02,Vancouver,BC,CA,+16046303800,info@readytogomoving.com,"Ready to Go Moving is a moving company based in Vancouver that offers a range of services for both residential and commercial clients. Their main functionalities include full packing, unpacking, furniture assembly, local and long-distance moving, loading and unloading, and delivery. They provide free estimates, on-time workers, and specialized services like antique moving, ensuring professional care and efficiency throughout the move. The team is fully licensed, insured, and emphasizes customer",moveplnr-2026-05-29-companies-batch500-1,0,1,0,catchall_only,info@readytogomoving.com,2026-05-29,info@readytogomoving.com,catch_all,deliverable,done
rcmove.com,General Moving Companies in US / CA,has_public,RC Moving Company,RC Moving Company,yes,CONSUMER_SERVICES:1.0,"B2B:0.99, B2C:0.97",106,91,1-10M,1-10,2017-07-18,Canoga Park,CA,US,"+17476002030, +17477584501",info@rcmove.com,"RC Moving Company is a family-owned moving service based in Greater Los Angeles that offers both local and long-distance moves. They provide professional packing, unpacking, and disassembly services for residential and commercial belongings, ensuring efficient handling of items like furniture and furniture. Key features include transparent pricing based on weight and size, flexible delivery options, and the use of high-quality packing materials such as plastic wrap and heavy item bags. The compa",moveplnr-2026-05-29-companies-batch500-1,0,1,0,catchall_only,info@rcmove.com,2026-05-29,info@rcmove.com,catch_all,deliverable,done
expressmoving.net,General Moving Companies in US / CA,has_public,EXPRESS MOVING,EXPRESS MOVING,yes,CONSUMER_SERVICES:0.99,"B2B:0.9, B2C:0.86",80,91,10-100M,11-50,2019-10-29,Halifax,NS,CA,"+18007603077, +19029896683",info@expressmoving.net,"EXPRESS MOVING is a moving company that offers both local and long-distance moving services across Canada. Their main functionalities include packing, delivery, storage, and furniture moving for various types of properties, including homes and offices. Key features include guaranteed delivery dates, expert packing services, and a commitment to safe and efficient move processes. They also provide 24/7 customer support to assist with inquiries and project needs during the moving process.",moveplnr-2026-05-29-companies-batch500-1,0,1,0,catchall_only,info@expressmoving.net,2026-05-29,info@expressmoving.net,catch_all,deliverable,done
aaamove.com,General Moving Companies in US / CA,has_public,AAA Movers,AAA Movers,yes,CONSUMER_SERVICES:1.0,"B2B:0.97, B2C:0.97",56,91,10-100M,1-10,2023-03-19,New York,NY,US,"+18778696687, +18888676689",info@aaamove.com,"AAA Movers is a moving company that provides nationwide, long-distance, and cross-country moving services for both residential and commercial clients. Their main functionality includes pre-move consultations to create customized moving plans, professional packing and transportation, and assistance with setting up new spaces at the relocation stage. Key features include a modern fleet of moving trucks equipped with safety features, expert packers who ensure belongings are safe and in optimal cond",moveplnr-2026-05-29-companies-batch500-1,0,1,0,catchall_only,info@aaamove.com,2026-05-29,info@aaamove.com,catch_all,deliverable,done
raptormovers.ca,General Moving Companies in US / CA,has_public,Raptor Movers INC.,Raptor Movers,yes,CONSUMER_SERVICES:0.99,"B2B:0.98, B2C:0.98",29,91,1-10M,1-10,2022-10-22,Brampton,ON,CA,"+16472696751, +18004330897, +19059993447",info@raptormovers.ca,"Raptor Movers Inc. is a moving company that offers a variety of moving services across Canada, including condo, office, and commercial moves, as well as packing, transportation, and junk removal. Their main functionality is to assist families and businesses with the relocation process, ensuring safe and efficient handling of belongings. Key features include free on-site estimates, 24/7 customer support, and a focus on quality service through a thorough pre-screening process before hiring. They a",moveplnr-2026-05-29-companies-batch500-1,0,1,0,catchall_only,info@raptormovers.ca,2026-05-29,info@raptormovers.ca,catch_all,deliverable,done
weliketomoveitmovers.com,General Moving Companies in US / CA,has_public,We Like To Move It Movers LLC,We Like To Move It Movers,yes,CONSUMER_SERVICES:0.99,"B2B:0.63, B2C:0.94",33,91,<1M,1-10,2021-03-19,Ocoee,FL,US,"+14075730247, +14844023718",moveitmovers@weliketomoveitmovers.com,"We Like To Move It Movers is a moving service that offers professional moving and delivery solutions for residential, office, and storage needs. Their main functionality includes providing free delivery of items such as mattresses, furniture, appliances, and tires, along with packing kits and packing materials. They offer all-inclusive pricing with no hidden fees or supply charges, ensuring a transparent process for customers. The company emphasizes safety and hygiene in their operations, employ",moveplnr-2026-05-29-companies-batch500-1,0,1,0,catchall_only,moveitmovers@weliketomoveitmovers.com,2026-05-29,moveitmovers@weliketomoveitmovers.com,catch_all,deliverable,done
lowys.com,General Moving Companies in US / CA,has_public,Lowy's Moving Service,Lowy's Moving Service,yes,"CONSUMER_SERVICES:0.89, BUSINESS_PRODUCTS_AND_SERVICES:0.11","B2B:0.94, B2C:0.98",77,91,1-10M,11-50,2018-10-23,Wall Township,NJ,US,+17327754118,admin@lowys.com,"Lowy's Moving Service offers a range of moving and storage solutions for both residential and commercial clients in New Jersey. Their main services include residential moves, commercial moving, office cleanouts, and emergency storage options. The company emphasizes customer satisfaction, adhering to industry standards such as integrity, professionalism, and safety during the move process, while also supporting charitable organizations through their business operations.",moveplnr-2026-05-29-companies-batch500-1,0,1,0,catchall_only,admin@lowys.com,2026-05-29,admin@lowys.com,catch_all,deliverable,done
velocitymovers.ca,General Moving Companies in US / CA,has_public,Velocity Movers,Velocity Movers,yes,CONSUMER_SERVICES:1.0,"B2B:0.93, B2C:0.93",98,91,1-10M,1-10,2021-03-30,Mississauga,ON,CA,+19054992820,info@velocitymovers.ca,"Velocity Movers is a moving company that offers residential and commercial moving services in the Greater Toronto Area. Their main functionalities include local, long-distance, and long- distance moving for both residential and business clients. Key features include decluttering services, packing solutions, white glove service, and specialized items like junk and furniture removal, all aimed at providing personalized care and transparent pricing without hidden fees. The team focuses on deliverin",moveplnr-2026-05-29-companies-batch500-1,0,1,0,catchall_only,info@velocitymovers.ca,2026-05-29,info@velocitymovers.ca,catch_all,deliverable,done
vancouverinthebox.com,General Moving Companies in US / CA,has_public,Vancouver In The Box,Vancouver In The Box,yes,CONSUMER_SERVICES:0.99,"B2B:0.97, B2C:0.95",201,91,1-10M,1-10,2018-07-06,Vancouver,BC,CA,+17782286976,info@vancouverinthebox.com,"Coast Packing Services is a packing and unpacking service based in Metro Vancouver that specializes in efficient moving for both residential and commercial moves, including long-distance moves, seniors' relocation, and specialized storage solutions. The company offers personalized packing plans, color-coded boxes, and the ability to split belongings for easier organization. They also provide free shipping across Canada and have over 15 years of experience in managing all aspects of the packing p",moveplnr-2026-05-29-companies-batch500-1,0,1,0,catchall_only,info@vancouverinthebox.com,2026-05-29,info@vancouverinthebox.com,catch_all,deliverable,done
crosscountrymovingcompany.net,General Moving Companies in US / CA,has_public,Cross Country Moving Company,Cross Country Moving Company,yes,CONSUMER_SERVICES:0.99,"B2B:0.75, B2C:0.95",364,91,N/A,1-10,2018-03-07,New York,NY,US,"+16282154935, +18002592437, +18668553226, +18778880708, +19542713204","info@crosscountrymovingcompany.net, josh@moving-reservations.com","Cross Country Moving Company offers a range of relocation services across the U.S., including packing, storage, auto transport, and international shipping. Their main functionality is to provide tailored moving solutions for both residential and commercial clients, ensuring safe and efficient handling of belongings. Key features include transparent pricing with no hidden fees, trained movers, climate-controlled storage options, and a commitment to customer satisfaction through reliable service a",moveplnr-2026-05-29-companies-batch500-1,0,1,0,catchall_only,info@crosscountrymovingcompany.net,2026-05-29,info@crosscountrymovingcompany.net,catch_all,deliverable,done
haulanything.com,General Moving Companies in US / CA,has_public,Jakes Moving & Storage,Jakes Moving & Storage,yes,CONSUMER_SERVICES:1.0,"B2B:0.8, B2C:0.89",127,91,1-10M,11-50,2017-09-26,Galesville,WI,US,+17155300422,"info@haulanything.com, tools@haulanything.com","Jakes Moving & Storage is a moving service focused on serving individuals aged 55 and older in the Coulee Region. The company offers a range of services including home and office moves, packing, unpacking, heavy lifting, and storage for furniture and other items. They are fully insured and trained movers who prioritize safety and customer satisfaction, providing clear pricing with no hidden fees and transparent estimates. Their team consists of experienced professionals who ensure that all aspec",moveplnr-2026-05-29-companies-batch500-1,0,2,0,catchall_only,"info@haulanything.com, tools@haulanything.com",2026-05-29,info@haulanything.com,catch_all,deliverable,done
