domain,bot_bucket,chat_class,vendor,quotable_line
heist-studios.com,NO BOT,blocked-not-probed,,
heldinourhearts.org.uk,NO BOT,not-probed,,
heliguy.com,NO BOT,not-probed,,
helloklean.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hi, I can help with that. Please log in so we can check your latest order and tracking details. Verify order details"
hemingsworth.com,NO BOT,not-probed,,
henrypoole.com,NO BOT,not-probed,,
hereweflo.co,NO BOT,no-chat-widget,,
hermanoscoffeeroasters.com,NO BOT,no-chat-widget,,
heronfoods.com,NO BOT,not-probed,,
herringshoes.co.uk,NO BOT,no-chat-widget,,
hertilityhealth.com,NO BOT,not-probed,,
hetas.co.uk,NO BOT,not-probed,,
hhclinics.co.uk,NO BOT,not-probed,,
highstreettv.com,NO BOT,no-chat-widget,,
hillfarmfinest.com,NO BOT,no-chat-widget,,
hillier.co.uk,NO BOT,not-probed,,
hiplok.com,NO BOT,no-chat-widget,,
hippychick.com,NO BOT,not-probed,,
hirestreetuk.com,NO BOT,no-chat-widget,Zendesk,
hivemindmead.com,NO BOT,blocked-not-probed,,
hodmedods.co.uk,NO BOT,no-chat-widget,,
hoffmaninstitute.co.uk,NO BOT,not-probed,,
hollandcooper.com,BUTTONS BOT,prechat-form-gated,DigitalGenius,
hollowaysofludlow.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
holycurls.com,BUTTONS BOT,menu-only-no-freetext,,
holyrooddistillery.co.uk,NO BOT,not-probed,,
homehealth-uk.com,NO BOT,no-chat-widget,,
honestyforyourskin.co.uk,NO BOT,not-probed,,
honeypotfurniture.co.uk,TEXT BOT,ai-collects-then-escalates,Gorgias,"Thanks for your message, and sorry for the stress this is causing. I’m handing this over to a human agent so they can look up your order details and check the most accurate next steps for you. To help the team find your order, please leave the email address you used when placing the order. In the meantime, if you can, please share your order number and the first and last name and postcode used for the order, since the team may need that to locate it quickly. Leave us your email * Submit"
hoodrichuk.com,NO BOT,no-chat-widget,,
hopeandivy.co.uk,BUTTONS BOT,menu-only-no-freetext,Zendesk,
hortology.co.uk,BUTTONS BOT,menu-only-no-freetext,,
hotoctopuss.com,NO BOT,blocked-not-probed,,
hottubsrock.co.uk,NO BOT,no-chat-widget,,
houseof.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
houseofhackney.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
houseofsunny.com,NO BOT,no-chat-widget,,
howhighbrands.co.uk,NO BOT,not-probed,,
hoylesoxford.com,NO BOT,no-chat-widget,,
huel.com,NO BOT,no-chat-widget,Zendesk,
humanists.uk,NO BOT,not-probed,,
hunterandgatherfoods.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hi, I’m sorry you’re waiting for your order. Please log in so we can check your latest order and tracking for you. Verify order details"
huntsmansavilerow.com,NO BOT,no-chat-widget,,
huntvintage.co,NO BOT,not-probed,,
hunzag.com,NO BOT,other-reply,Zendesk,"Got a question? Our customer care team is here to help. You can chat to us via Live Chat here, or alternatively you can reach us on Whatsapp via the 3 dots in the top right. You say: Sent · Just now Name 1 of 2 Next"
hydrajaws.co.uk,NO BOT,not-probed,,
hyloathletics.com,NO BOT,no-chat-widget,,
iceland.co.uk,NO BOT,not-probed,,
icklebubba.com,NO BOT,no-chat-widget,Freshchat,
iconlifesaver.com,BUTTONS BOT,menu-only-no-freetext,,
idency.com,NO BOT,not-probed,,
ifing.co.uk,NO BOT,not-probed,,
illumicrate.com,BUTTONS BOT,menu-only-no-freetext,,
impactfurniture.co.uk,NO BOT,not-probed,,
imperialcoaches.co.uk,NO BOT,not-probed,,
imperiallighting.co.uk,NO BOT,not-probed,,
impossibrew.co.uk,NO BOT,blocked-not-probed,,
indigenous.co.uk,NO BOT,not-probed,,
inkthreadable.co.uk,NO BOT,not-probed,,
inprintwetrust.co,NO BOT,no-chat-widget,,
inspiremyplay.com,NO BOT,no-chat-widget,,
invoco.net,NO BOT,not-probed,,
iolla.com,NO BOT,not-probed,,
ionicsystems.com,NO BOT,not-probed,,
ireneforteskincare.com,NO BOT,no-chat-widget,Gorgias;Tidio,
ironheart.co.uk,TEXT BOT,canned-wait-time,Gorgias,will be with you in a few minutes
isleofwightdistillery.com,NO BOT,no-chat-widget,,
ism.org,NO BOT,not-probed,,
ismash.com,NO BOT,no-chat-widget,,
iso-clean.co.uk,NO BOT,no-chat-widget,,
itluggage.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
itsnothouitsme.com,NO BOT,not-probed,,
jackandbeyond.com,BUTTONS BOT,menu-only-no-freetext,,
jackloc.com,NO BOT,not-probed,,
jadedldn.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hi, I can help with that. Please log in so I can look up your order, or you can track it here: https://jadedldn.com/en-ar/pages/track-your-order 🙂 Verify order details"
jamesbushell.co.uk,NO BOT,not-probed,,
jandadrinks.co.uk,NO BOT,not-probed,,
janeausten.co.uk,NO BOT,no-chat-widget,,
javelinbipod.com,TEXT BOT,canned-wait-time,Intercom,Within 4 hours
jejoue.com,NO BOT,blocked-not-probed,,
jenki.co.uk,NO BOT,no-chat-widget,,
jennypackham.com,NO BOT,no-chat-widget,,
jerichowriters.com,NO BOT,no-chat-widget,,
jessicaflinn.co.uk,NO BOT,no-chat-widget,,
jessicamccormack.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
jewellerybox.co.uk,BUTTONS BOT,menu-only-no-freetext,Tawk.to,typically reply in a few minutes
jimandtonic.com,NO BOT,blocked-not-probed,,
jindesigns.com,NO BOT,no-chat-widget,,
jingtea.com,NO BOT,no-chat-widget,Zendesk,
jkattire.co.uk,NO BOT,no-chat-widget,,
jla.com,NO BOT,not-probed,,
jonathanlea.net,NO BOT,not-probed,,
joseph-holt.com,NO BOT,not-probed,,
josephjoseph.com,TEXT BOT,deflects-to-article,Zendesk,Was this helpful
joshwoodcolour.com,NO BOT,not-probed,,
jtpuk.co.uk,NO BOT,not-probed,,
juliancharles.co.uk,NO BOT,no-chat-widget,,
juliettesinteriors.co.uk,NO BOT,no-chat-widget,LiveChat,
justbeehoney.co.uk,NO BOT,other-reply,Richpanel,"Just Bee Help us with a few details First Name* Email* Please provide Email We'll reach out to you on this email if we get disconnected here. Start a chat with us By sending us a message, you agree to our privacy policy."
justfortummies.co.uk,NO BOT,no-chat-widget,,
justmylook.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hi! I’m sorry, but I can’t view your order details until you’re logged in. Please sign in and then I can help check your order status right away 👍 Verify order details"
justpuddingbasins.co.uk,NO BOT,not-probed,,
jutebag.co.uk,NO BOT,not-probed,,
jwanderson.com,NO BOT,no-chat-widget,,
kaicolabs.com,NO BOT,no-chat-widget,,
kaicollective.com,NO BOT,no-chat-widget,,
katharinepooley.com,BUTTONS BOT,menu-only-no-freetext,,
katysuedesigns.com,NO BOT,no-chat-widget,,
kentbrushes.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
kerrysfresh.co.uk,NO BOT,no-chat-widget,,
kewlittlepigs.com,NO BOT,no-chat-widget,,
keysafe.co.uk,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hi, I’m sorry, but we can’t view your order details until you log in. Please sign in so we can check the latest status for you 👍 Verify order details"
kickgame.co.uk,NO BOT,no-chat-widget,Re:amaze,
kiki.co.uk,NO BOT,no-chat-widget,Tidio,
killstar.com,NO BOT,no-chat-widget,Re:amaze,
kinetikwellbeing.com,NO BOT,not-probed,,
kirkandkirk.com,NO BOT,other-reply,LiveChat,Hello. How may I help you? Welcome to our service! How can we assist you today?
kitandkin.com,BUTTONS BOT,menu-only-no-freetext,Freshchat,
kite-flooring.com,NO BOT,no-chat-widget,,
kitristudio.com,NO BOT,no-chat-widget,,
knebworthhouse.com,NO BOT,not-probed,,
knight-fencing.co.uk,NO BOT,not-probed,,
knollgardens.co.uk,NO BOT,not-probed,,
kollohealth.com,NO BOT,no-chat-widget,Gorgias,
konditor.co.uk,BUTTONS BOT,menu-only-no-freetext,Gorgias,
krotosaudio.com,NO BOT,no-chat-widget,Zendesk,
la-z-boy.co.uk,NO BOT,not-probed,,
labtech.com,NO BOT,not-probed,,
ladyvlondon.com,NO BOT,no-chat-widget,,
lafromagerie.co.uk,NO BOT,no-chat-widget,,
laidbacklondon.com,NO BOT,no-chat-widget,,
lakeland.co.uk,NO BOT,no-chat-widget,,
lakesdistillery.com,NO BOT,blocked-not-probed,,
lansinoh.co.uk,NO BOT,no-chat-widget,Crisp,
lanxshoes.com,NO BOT,no-chat-widget,Gorgias,
larkandberry.com,NO BOT,no-chat-widget,,
laura-thomas.com,NO BOT,not-probed,,
laurenceking.com,NO BOT,no-chat-widget,,
laviniastamps.com,NO BOT,not-probed,,
lavishalice.com,BUTTONS BOT,prechat-form-gated,DigitalGenius,
lazyoaf.com,NO BOT,no-chat-widget,Intercom,
leatherrepaircompany.com,NO BOT,no-chat-widget,,
lechameau.com,NO BOT,no-chat-widget,Gorgias,
lecol.cc,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hi, I’m sorry, but we cannot view your order status until you log in to your account. Please log in and we’ll check it for you right away. As AI, we’re trying to provide the first response and initial support, but if you need more help, you can ask to be transferred to a colleague by replying in this same chat 🙂 Verify order details"
leftovercurrency.com,NO BOT,not-probed,,
legalfutures.co.uk,NO BOT,not-probed,,
lemonadedolls.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hi! Sorry you’re having trouble tracking your order 😕 To locate it, please log in so we can check your order details for you. Verify order details"
lemondeberyl.com,NO BOT,no-chat-widget,,
lenleys.co.uk,NO BOT,no-chat-widget,Tawk.to,
leon.co,NO BOT,not-probed,,
lestrangelondon.com,NO BOT,no-chat-widget,Redo,
letterfest.com,BUTTONS BOT,email-gate-to-human,Gorgias,"Letterfest Support Bot Leave us your email , Automated · Just now"
levelfivesupplies.com,NO BOT,not-probed,,
lewisreedgroup.co.uk,NO BOT,not-probed,,
lexxola.com,NO BOT,no-chat-widget,,
liforme.com,NO BOT,no-chat-widget,,
lightcentre.com,NO BOT,not-probed,,
lights4fun.co.uk,TEXT BOT,ai-lookup-login-gated,Gorgias,"I’m sorry you’re having trouble tracking your order. Please log in so we can access your order details and check the latest status for you. If you have already received a dispatch email, you can also track it using the courier link in that email, or use Evri: https://www.evri.com/track-a-parcel or DPD: https://track.dpd.co.uk/. If that still does not answer it, come back to us and we can help further 😊 Verify order details"
ligo.co.uk,NO BOT,no-chat-widget,,
lilyandroo.com,TEXT BOT,ai-lookup-login-gated,Gorgias;LiveChat,"Hi, I’m sorry, but I need you to log in so we can check your order status and tracking for you. Once you’re signed in, we’ll be able to look into it properly. Best Wishes Verify order details"
lilyarkwright.com,TEXT BOT,no-response-human-queue,Chatra,
lilycharmed.com,NO BOT,no-chat-widget,,
lilyskitchen.co.uk,BUTTONS BOT,menu-only-no-freetext,Zendesk,
linwoodfabric.com,NO BOT,no-chat-widget,,
linx-com.com,NO BOT,not-probed,,
liquidline.co.uk,NO BOT,not-probed,,
lisaslaw.co.uk,NO BOT,not-probed,,
little-lies.com,NO BOT,no-chat-widget,Gorgias,
littlebeausheep.com,NO BOT,not-probed,,
liverpoolmuseums.org.uk,NO BOT,not-probed,,
lizearlewellbeing.com,NO BOT,not-probed,,
ljsladiesboutique.co.uk,NO BOT,no-chat-widget,,
llfgames.com,NO BOT,no-chat-widget,,
lm-technologies.com,NO BOT,not-probed,,
lociwear.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
lockabox.com,NO BOT,no-chat-widget,,
lockertek.co.uk,NO BOT,not-probed,,
loddoncars.com,NO BOT,not-probed,,
lolaandblake.co.uk,NO BOT,not-probed,,
londonappdeveloper.com,NO BOT,not-probed,,
londonbasincompany.com,NO BOT,not-probed,,
londonlash.com,TEXT BOT,broken-ai-wrong-language,,"Athena London Lash 24/7 Assistant - Get instant help with products, orders, and training. Athena Olá! Como posso ajudá-lo hoje? You London Lash Agent May we know your first name please?"
londonsockcompany.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
longrakespar.co.uk,NO BOT,not-probed,,
lordsandlabradors.co.uk,NO BOT,no-chat-widget,Gorgias,
lounge.com,NO BOT,blocked-not-probed,,
louvolite.com,NO BOT,not-probed,,
lovebrand.com,NO BOT,no-chat-widget,,
lovecocoa.com,NO BOT,no-chat-widget,Gorgias,
lovehilltop.com,TEXT BOT,no-response-human-queue,Tawk.to,
luckysaint.co,NO BOT,no-chat-widget,,
lucyandyak.com,TEXT BOT,ai-lookup-login-gated,Gorgias,Hi! I can help with that. Please log in so we can access your order details and check the latest tracking for you 👍 Verify order details
lucybee.com,TEXT BOT,asks-for-order-details,Chatra,The team will reply as soon as possible. Please leave your name and email address so we can contact you if you go offline: Name
luluguinness.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hi, I can help with that. Please log in so we can check your latest order status and tracking details. Best regards. Verify order details"
lumenalights.com,NO BOT,not-probed,,
lumitylife.co.uk,BUTTONS BOT,menu-only-no-freetext,Re:amaze,
luxurypromise.com,BUTTONS BOT,menu-only-no-freetext,Tidio,
lyleandscott.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hi, thanks for getting in touch. We’d be happy to check your order status for you. Please log in so we can securely look up your order and share the latest update for you 😊 Verify order details"
lyma.life,BUTTONS BOT,menu-only-no-freetext,Gorgias,
macgregorandmacduff.co.uk,NO BOT,no-chat-widget,,
mackies.co.uk,NO BOT,not-probed,,
madabouthorror.co.uk,BUTTONS BOT,menu-only-no-freetext,,
maddoxgallery.com,NO BOT,no-chat-widget,Tidio,
madebymitchell.co.uk,NO BOT,no-chat-widget,,
maeving.com,NO BOT,no-chat-widget,,
magculture.com,NO BOT,blocked-not-probed,,
mahabis.com,NO BOT,no-chat-widget,Freshchat,
mahileather.com,NO BOT,no-chat-widget,,
mahrsurgical.co.uk,NO BOT,not-probed,,
maisonflaneur.com,NO BOT,no-chat-widget,,
maisonmirabeau.com,NO BOT,not-probed,,
makemesomethingspecial.com,NO BOT,not-probed,,
makerandson.com,NO BOT,blocked-not-probed,,
mallet.com,NO BOT,no-chat-widget,Tidio,
malonesouliers.com,NO BOT,no-chat-widget,Gorgias,
mamaowl.net,NO BOT,no-chat-widget,,
mamasandpapas.com,NO BOT,no-chat-widget,,
manandmachine.co.uk,NO BOT,not-probed,,
mandarinstone.com,NO BOT,not-probed,,
manieredevoir.com,NO BOT,no-chat-widget,Gorgias,
manorsgolf.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hi, I can help with that. Please log in so we can look up your latest order and check the tracking for you. Verify order details"
manticgames.com,NO BOT,not-probed,,
marfastance.com,BUTTONS BOT,menu-only-no-freetext,,
margaretdabbs.co.uk,NO BOT,not-probed,,
margarethowell.co.uk,BUTTONS BOT,menu-only-no-freetext,Gorgias,
markgoodger.co.uk,NO BOT,not-probed,,
markhillhair.com,BUTTONS BOT,prechat-form-gated,,Send
marleybones.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hi, sorry, I can’t check your order just yet because you’re not signed in. Please log in so we can look up your latest order and update you on where it is 👍 Verify order details"
marugame.co.uk,NO BOT,not-probed,,
marwell.org.uk,NO BOT,not-probed,,
mastersofwine.org,NO BOT,not-probed,,
mathmos.com,NO BOT,not-probed,,
mauvais.co.uk,NO BOT,no-chat-widget,,
maxview.co.uk,NO BOT,not-probed,,
meaco.com,NO BOT,no-chat-widget,,
meatex.co.uk,NO BOT,not-probed,,
meatsmokefire.co.uk,NO BOT,not-probed,,
mechboards.co.uk,NO BOT,no-chat-widget,Re:amaze,
medaco.co.uk,NO BOT,not-probed,,
medik8.com,BUTTONS BOT,menu-only-no-freetext,DigitalGenius,
medisave.co.uk,BUTTONS BOT,menu-only-no-freetext,Front,
melodymaison.co.uk,NO BOT,no-chat-widget,,
melonoptics.com,NO BOT,other-reply,Richpanel,"Melon Optics Help us with a few details First Name* Email* Please provide Email We'll reach out to you on this email if we get disconnected here. Start a chat with us By sending us a message, you agree to our privacy policy."
meltchocolates.com,NO BOT,other-reply,Help Scout,"To continue, please share your email address"
mend.org.uk,NO BOT,not-probed,,
mercedesamgf1.com,NO BOT,no-chat-widget,,
meresupplies.co.uk,NO BOT,not-probed,,
merlinunwin.co.uk,NO BOT,no-chat-widget,,
merwave.co.uk,NO BOT,no-chat-widget,,
message.org.uk,NO BOT,not-probed,,
metier.com,TEXT BOT,ai-no-lookup-escalates,Gorgias,wait time is greater than 15 minutes
mexican-mama.com,NO BOT,no-chat-widget,,
miatui.com,BUTTONS BOT,menu-only-no-freetext,,
milkyplant.com,NO BOT,no-chat-widget,,
millbryhill.co.uk,NO BOT,no-chat-widget,,
millerharris.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
minalima.com,NO BOT,not-probed,,
mindfuldesignconsulting.com,NO BOT,not-probed,,
mingalondon.com,NO BOT,no-chat-widget,,
minorfigures.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hi, I can help with that. Please log in so I can check your order status and tracking for you. Verify order details"
mirrormirror.uk.com,NO BOT,not-probed,,
missmacaroon.co.uk,NO BOT,no-chat-widget,,
missoma.com,BUTTONS BOT,menu-only-no-freetext,DigitalGenius,
misspatina.com,NO BOT,no-chat-widget,,
missyempire.com,NO BOT,no-chat-widget,,
moasure.com,NO BOT,other-reply,LiveChat;Zendesk,Email 2 of 2 Send
mojudrinks.com,NO BOT,no-chat-widget,Gorgias,
moley.com,NO BOT,not-probed,,
mollymaid.co.uk,NO BOT,not-probed,,
mongoosepublishing.com,NO BOT,no-chat-widget,,
monmouthcoffee.co.uk,TEXT BOT,ai-no-lookup-escalates,Zendesk,Flo Customer Support Please update your info Chat started Flo joined the chat Flo hi there :) Flo is typing
montirex.com,BUTTONS BOT,prechat-form-gated,DigitalGenius,
moons.co.uk,NO BOT,not-probed,,
morleyglass.co.uk,NO BOT,no-chat-widget,,
morningsidegallery.co.uk,NO BOT,not-probed,,
motelrocks.com,BUTTONS BOT,prechat-form-gated,DigitalGenius,
mothdrinks.com,NO BOT,no-chat-widget,Re:amaze,
motion-impossible.com,NO BOT,not-probed,,
mous.co,NO BOT,no-chat-widget,,
movephysio.co.uk,NO BOT,not-probed,,
mowerpower.co.uk,NO BOT,no-chat-widget,,
mowglistreetfood.com,NO BOT,not-probed,,
mrbsemporium.com,NO BOT,not-probed,,
mrsalice.com,NO BOT,no-chat-widget,Gorgias,
mrswordsmith.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
mstrust.org.uk,NO BOT,not-probed,,
muc-off.com,NO BOT,no-chat-widget,Gorgias,
muckynutz.com,NO BOT,no-chat-widget,,
muddypuddles.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hi, I can help with that. Please log in so we can look up your order and check its latest status for you. Once you’re logged in, we can confirm where it is and any tracking details. Verify order details"
murad.co.uk,NO BOT,no-chat-widget,Freshchat,
muraspec.com,NO BOT,not-probed,,
musclefood.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
musclesquad.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
musicradiocreative.com,NO BOT,no-chat-widget,,
musicstreet.co.uk,NO BOT,no-chat-widget,,
muzungusisters.com,NO BOT,no-chat-widget,,
mybaker.co,NO BOT,no-chat-widget,,
myclubgroup.com,NO BOT,not-probed,,
myddfai.com,NO BOT,not-probed,,
myexpertmidwife.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
myfabulosa.co.uk,NO BOT,no-chat-widget,,
myfacedr.com,NO BOT,no-chat-widget,Gorgias,
mygrubclub.com,NO BOT,no-chat-widget,Gorgias,
myoddballs.com,NO BOT,no-chat-widget,Gorgias,
mypetnutritionist.com,TEXT BOT,no-response-human-queue,LiveChat,
mysteryawaydays.co.uk,NO BOT,not-probed,,
nadeausauction.com,NO BOT,not-probed,,
nadinemerabi.com,NO BOT,no-chat-widget,Gorgias,
nailsinc.com,NO BOT,no-chat-widget,,
namsong.co.uk,NO BOT,not-probed,,
napiers.net,BUTTONS BOT,menu-only-no-freetext,Gorgias,
naturaldeoco.com,NO BOT,not-probed,,
naturalinstinct.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
naturalmat.co.uk,NO BOT,no-chat-widget,Gorgias,
naturewall.com,NO BOT,no-chat-widget,,
nauticalia.com,NO BOT,no-chat-widget,,
navygrey.co,NO BOT,no-chat-widget,,
nealsyardremedies.com,NO BOT,no-chat-widget,,
needleandthread.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
nellyduff.com,NO BOT,not-probed,,
neomwellbeing.com,NO BOT,no-chat-widget,Gorgias,
neptune.com,TEXT BOT,no-response-human-queue,Tawk.to,
neutonic.com,NO BOT,no-chat-widget,,
neverfullydressed.com,TEXT BOT,no-response-human-queue,,check out our help
newandlingwood.com,NO BOT,no-chat-widget,,
newforestclothing.co.uk,NO BOT,no-chat-widget,Gorgias,
newgateworld.com,NO BOT,no-chat-widget,,
nickyclarke.com,NO BOT,not-probed,,
nikura.com,NO BOT,no-chat-widget,Gorgias,
nikwax.com,NO BOT,not-probed,,
nimh.org.uk,NO BOT,not-probed,,
nkuku.com,NO BOT,no-chat-widget,,
noah.co.uk,NO BOT,not-probed,,
nobodyschild.com,NO BOT,no-chat-widget,,
nomadtravel.co.uk,NO BOT,not-probed,,
northfieldfarm.com,NO BOT,not-probed,,
nosycrow.com,NO BOT,not-probed,,
notanotherbunchofflowers.com,NO BOT,not-probed,,
notion.online,NO BOT,not-probed,,
npeal.com,TEXT BOT,no-response-human-queue,Zendesk,
nras.org.uk,NO BOT,not-probed,,
nrbyclothing.com,NO BOT,no-chat-widget,,
nu-heat.co.uk,NO BOT,no-chat-widget,,
nubianskin.com,NO BOT,blocked-not-probed,,
nuhrhome.com,NO BOT,other-reply,Re:amaze,Not Sent Yet We just need some more information from you to proceed: Name Email Send
numerisfootwear.com,NO BOT,no-chat-widget,Gorgias,
nurecover.com,NO BOT,no-chat-widget,Richpanel,
nutratea.co.uk,NO BOT,no-chat-widget,Tidio,
nutri-paw.com,NO BOT,no-chat-widget,,
nutritiongeeks.co,NO BOT,no-chat-widget,,
nyetimber.com,NO BOT,not-probed,,
o-mills.co.uk,NO BOT,not-probed,,
oceanbottle.co,BUTTONS BOT,menu-only-no-freetext,,
oceanographicmagazine.com,NO BOT,no-chat-widget,,
ocushield.com,NO BOT,no-chat-widget,,
oddmuse.co.uk,NO BOT,no-chat-widget,Gorgias,
odysea.com,NO BOT,not-probed,,
ogkicks.uk,NO BOT,no-chat-widget,,
ohpolly.com,TEXT BOT,ai-lookup-login-gated,Ada,"4 unread messages --- End Chat Message from Oh Polly Virtual Assistant: Hello! I’m Polly, your Virtual Assistant. I recommend logging into your account for a faster, more efficient experience 👇 Message from you: Login here How can I help you today? Thinking... How can I help you today?"
oka.com,NO BOT,no-chat-widget,,
olivercompanylondon.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
oliversmount.com,NO BOT,no-chat-widget,,
oliverspencer.co.uk,BUTTONS BOT,menu-only-no-freetext,Gorgias,
oliviarubinlondon.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
olivias.com,NO BOT,no-chat-widget,,
oliviavonhalle.com,BUTTONS BOT,menu-only-no-freetext,Chatra,
omfif.org,NO BOT,not-probed,,
omnes.com,NO BOT,no-chat-widget,,
omni.pet,NO BOT,no-chat-widget,Gorgias,
one-sports-warehouse.com,BUTTONS BOT,menu-only-no-freetext,,
onegreenbottle.com,NO BOT,not-probed,,
oneliving.com,NO BOT,no-chat-widget,,
oneworld-publications.com,NO BOT,not-probed,,
onlycurls.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
oosc-clothing.com,TEXT BOT,ai-lookup-login-gated,Gorgias,Hi! I can help with that. Please log in so we can check your order status and tracking for you 👍 Verify order details
openbionics.com,NO BOT,not-probed,,
operabeds.com,BUTTONS BOT,prechat-form-gated,LiveChat,
opmakeup.com,NO BOT,no-chat-widget,,
opro.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hi, I can help with that. Please log in so I can check your order details and tracking for you. Verify order details"
optonline.net,NO BOT,not-probed,,
oralift.com,NO BOT,not-probed,,
orangeamps.com,NO BOT,no-chat-widget,,
orangecounty-cbd.com,BUTTONS BOT,menu-only-no-freetext,Tidio,
origincoffee.co.uk,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hi, I can help with that. Please log in so we can look up your latest order and check its status. Verify order details"
origineffects.com,NO BOT,not-probed,,
orlakiely.com,NO BOT,no-chat-widget,Zendesk,
orlebarbrown.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hello, I’m sorry for the trouble finding your order. Please log in so we can look up your latest order and check its status for you. Verify order details"
ormondejayne.com,NO BOT,no-chat-widget,Gorgias,
oschaslings.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hi, I’m Oscha’s AI assistant. I’ll help with this and, if needed, make sure it gets to a person so you are not stuck going in circles. I can help track this down, but I need you to log in first so we can see your order details. Verify order details"
osmouk.com,NO BOT,not-probed,,
ottersurfboards.co.uk,NO BOT,no-chat-widget,,
ottolenghi.co.uk,NO BOT,no-chat-widget,,
overlander.co.uk,NO BOT,not-probed,,
oxforddiecast.co.uk,NO BOT,no-chat-widget,,
ozonecoffee.co.uk,NO BOT,no-chat-widget,,
paiskincare.com,NO BOT,other-reply,Zendesk,Hi! Please enter your details and let us know how we can help! You say: Sent · Just now Name 1 of 4 Next
pand.co,BUTTONS BOT,menu-only-no-freetext,Gorgias,48 Hour Reply
pandamed.co.uk,NO BOT,not-probed,,
pantsandsocks.com,TEXT BOT,ai-lookup-login-gated,Gorgias,I can help with that. Please log in so we can check your order status for you 🙂 Verify order details
paolomoschino.com,NO BOT,no-chat-widget,,
papadeli.co.uk,NO BOT,not-probed,,
paperhigh.com,NO BOT,not-probed,,
parajet.com,NO BOT,not-probed,,
partylights.co.uk,NO BOT,not-probed,,
passenger-clothing.com,BUTTONS BOT,menu-only-no-freetext,Dixa,
pastaevangelists.com,BUTTONS BOT,menu-only-no-freetext,Dixa,
patrolstore.com,NO BOT,no-chat-widget,,
pauledmonds.com,NO BOT,no-chat-widget,,
pavers.co.uk,NO BOT,no-chat-widget,,
pavpub.com,NO BOT,not-probed,,
paxtonandwhitfield.co.uk,NO BOT,no-chat-widget,,
peachyden.co.uk,BUTTONS BOT,menu-only-no-freetext,Gorgias,
peaksensors.com,NO BOT,not-probed,,
peggyporschen.com,NO BOT,no-chat-widget,,
penguin.co.uk,NO BOT,no-chat-widget,,
pennymorrison.com,NO BOT,no-chat-widget,,
percivalclo.com,NO BOT,no-chat-widget,,
perfectted.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hi, I can help with that. Please log in so we can look up your order and check the latest tracking for you. Verify order details"
perfumerh.com,NO BOT,no-chat-widget,,
perkypear.com,NO BOT,blocked-not-probed,,
pestcontroldirect.co.uk,NO BOT,not-probed,,
petslovefresh.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hi, I’m sorry, but I can’t view your order details until you log in. Please sign in so we can check the status and tracking for you right away. Verify order details"
pettech.co.uk,NO BOT,no-chat-widget,,
phaidon.com,NO BOT,no-chat-widget,,
pharmacyplushealth.co.uk,NO BOT,not-probed,,
phoebephilo.com,BUTTONS BOT,menu-only-no-freetext,Gorgias,
phoenix-uk.co.uk,NO BOT,not-probed,,
phonesurgeryonline.co.uk,NO BOT,not-probed,,
picante.shop,NO BOT,no-chat-widget,Gorgias,
pictureperfecthome.co.uk,NO BOT,no-chat-widget,Zendesk,
piddlepatch.com,NO BOT,no-chat-widget,,
pieceofcakemarketing.co.uk,NO BOT,not-probed,,
pigletinbed.com,TEXT BOT,ai-lookup-login-gated,Gorgias,"Hi, I’m sorry, but I can’t see your order details just yet. Please log in so we can check the latest update for you. Verify order details"
