Name,Domain,Segment Description,Proximity,Segment Id,Industry Groups,Business Model,Keywords,Description,Social URLs,Score,Revenue Range,Employees,Start Date,Street,City,State,Zip,Country,Phones,Public Emails,Redirect Domain,Update Date,Customer Type,query_name,ingested_at,company_clean,segment,public_emails_clean,MV,BB,Final Email,Source,Status,AI assist
Stress-Less Moving & Storage Company,stresslessmovingco.com,Full-Service Moving and Storage,1,1,CONSUMER_SERVICES:0.95,"B2B:0.97, B2C:0.97","moving pennsylvania:0.58, moving storage:0.55, moving residential:0.52, relocating life:0.52, relocation packing:0.52, needs relocation:0.5, moving stressful:0.48, com moving:0.47, home moving:0.46, commercial relocation:0.45, estimate relocating:0.45, stresslessmovingco com:0.37, storage company:0.37, new jersey:0.32, antique specialists:0.26","Stressless Moving & Storage is a family-owned moving and storage service that offers local, long-distance, and specialized moving solutions in Pennsylvania and New Jersey. The company provides logistical support for various relocation needs, including packing, shipping, and storage services. They also offer free estimates and stress-free moving assistance to help clients navigate their moving processes efficiently.",,158,<1M,1-10,2019-12-04,,Central,NJ,,US,,loren.tingen@stresslessmovingco.com,,2026-05-30,"{""B2B"": 0.97, ""B2C"": 0.97}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,Stress-Less Moving & Storage,has_public,loren.tingen@stresslessmovingco.com,ok,skipped,loren.tingen@stresslessmovingco.com,P0,done,Not many moving companies in Central NJ have been family-owned since 2019 like Stressless Moving & Storage.
"Next Adventure Moving, LLC",nextadventuremoving.com,Full-Service Moving and Storage,1,1,CONSUMER_SERVICES:1.0,B2C:0.96,"help moving:0.54, moving help:0.53, adventure moving:0.51, moving excellent:0.5, services moving:0.48, moving specialist:0.48, interstate moves:0.47, moving llc:0.43, crate rentals:0.42, rentals new:0.42, info nextadventuremoving:0.39, insured dot:0.36, local ma:0.33, care furniture:0.31, placing truck:0.31","Next Adventure Moving is a veteran-owned moving company that offers a range of services including local moves, long distance interstate moves, same-day booking, and furniture assembly. Their main purpose is to provide professional assistance throughout the moving process, ensuring customer satisfaction with personalized service. Key features include fully licensed and insured moving companies, competitive pricing starting at $99 per hour, and a focus on efficient and friendly handling of belongings.",,87,1-10M,1-10,2019-04-20,,Boston,MA,02108,US,+17812990291,info@nextadventuremoving.com,,2026-05-22,"{""B2C"": 0.96}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,Next Adventure Moving,has_public,info@nextadventuremoving.com,catch_all,deliverable,info@nextadventuremoving.com,P0,done,Noticed that you’ve been handling Boston moves as a veteran-owned company since 2019.
Rogue Moving & Storage,roguemoving.com,Full-Service Moving and Storage,1,1,CONSUMER_SERVICES:1.0,"B2B:0.97, B2C:0.99","moving storage:0.52, moving packing:0.52, rogue moving:0.47, moving supplies:0.47, belongings furniture:0.4, moving boxes:0.4, crew rogues:0.4, quality moving:0.39, storage company:0.39, service moving:0.38, armoires ensure:0.37, household moving:0.35, trucks using:0.34, stage houses:0.27, bay area:0.27","Rogue Moving & Storage is a moving and storage service based in the San Francisco Bay Area, specializing in both residential and commercial moves. They offer a range of services including packing, truck loading, unpacking, and lifting for long-term or short-term storage needs. Key features include shrink wrap for larger items, wardrobe boxes for storing belongings, and assistance with home staging for market listings. The company emphasizes high-quality moving standards at competitive prices and provides personalized support throughout the move process.",https://www.yelp.com/biz/rogue-moving-and-storage-san-francisco-2,118,1-10M,1-10,2016-12-10,1569 Custer Avenue,San Francisco,CA,94124,US,+14156436453,info@roguemoving.com,,2026-05-19,"{""B2B"": 0.97, ""B2C"": 0.99}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,Rogue Moving & Storage,has_public,info@roguemoving.com,ok,skipped,info@roguemoving.com,P0,done,Noticed that you’ve been handling moves in San Francisco since 2016 with a focus on home staging support.
Carlson's Custom Interiors,ccimovers.com,Full-Service Moving and Storage,0.94,1,CONSUMER_SERVICES:0.91,"B2B:0.9, B2C:0.99","moving luxury:0.57, commercial relocation:0.49, luxury service:0.47, interiors luxury:0.46, service moving:0.45, carlson custom:0.41, relocation gallery:0.41, packing service:0.4, designer services:0.4, moving home:0.39, movers com:0.39, inconvenience residential:0.38, moving storage:0.37, small company:0.32, furniture disassembly:0.31","Carlson's Custom Interiors is a full-service moving company based in Arvada, Colorado. They offer a range of services including professional packing and unpacking, home cleaning, custom installations, and last-minute emergency moves. The company focuses on providing personalized moving solutions tailored to individual needs, ensuring that clients receive the best possible service for their relocation requirements.",https://facebook.com/ccimovers,82,<1M,1-10,2017-12-28,5560 Gray St,Arvada,CO,80002,US,"+17202857813, +17203819125",dcarlson@ccimovers.com,,2026-05-29,"{""B2B"": 0.9, ""B2C"": 0.99}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,Carlson's Custom Interiors,has_public,dcarlson@ccimovers.com,ok,skipped,dcarlson@ccimovers.com,P0,done,Noticed that you’ve been handling custom installations and last-minute emergency moves in Arvada since 2017.
Busy Bee Moves,busybeemoves.com,Full-Service Residential and Commercial Movers,1,2,CONSUMER_SERVICES:1.0,B2C:0.98,"moving services:0.58, moving packing:0.58, busy bee:0.56, unpacking moving:0.54, moving supplies:0.54, organizing moving:0.51, services busy:0.49, moving movers:0.47, info busybeemoves:0.46, bee moves:0.45, moving day:0.45, choice moving:0.42, unload belongings:0.42, ready moving:0.41, schedule services:0.4","Busy Bee Moves is a moving service that offers a variety of assistance for individuals and families throughout the move process. Their main functionalities include packing, organizing, unpacking, and providing moving supplies, as well as specialized services like downsizing and college moves. Customers can choose between full-service packages or individual moving assistance tailored to their needs, with free estimates available for consultations. The company emphasizes personalized support and aims to help clients navigate their moving journey efficiently.",,102,<1M,1-10,2021-08-10,,Norfolk,TN,06060,US,+12405170673,info@busybeemoves.com,,2026-06-07,"{""B2C"": 0.98}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,Busy Bee Moves,has_public,info@busybeemoves.com,catch_all,deliverable,info@busybeemoves.com,P0,done,Not many Norfolk movers have leaned into college moves and downsizing like you since 2021.
Pinnacle Moving Company NWA,pinnaclemovingnwa.com,Full-Service Residential and Commercial Movers,1,2,CONSUMER_SERVICES:1.0,"B2B:0.98, B2C:0.94","moving services:0.56, business moving:0.52, moving diy:0.51, packing services:0.49, moving needs:0.48, moving offers:0.47, pinnacle moving:0.47, residential moves:0.45, moving town:0.45, relocating home:0.44, support relocation:0.44, moving experience:0.43, moving nwa:0.43, range services:0.41, moved 479:0.38","Pinnacle Moving Company NWA provides a range of moving services for both residential and commercial moves. Their offerings include local moving, long-distance moving, DIY moving, packing supplies, and corporate relocation solutions. The company employs trained professionals to ensure the safety of belongings and offers tailored moving plans with minimal downtime. With over 27 years of experience, Pinnacle Moving Co. aims to make the move smooth and stress-free for clients.",https://www.linkedin.com/company/pinnacle-moving-company,102,1-10M,1-10,2020-06-24,4 S Fiddlesticks Trail,Rogers,AR,72758,US,+14794352888,nick@pinnaclemovingnwa.com,,2026-06-07,"{""B2B"": 0.98, ""B2C"": 0.94}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,Pinnacle Moving Company NWA,has_public,nick@pinnaclemovingnwa.com,ok,skipped,nick@pinnaclemovingnwa.com,P0,done,Not many moving companies in Rogers have built up 27 years of experience with a team your size.
"J AND N Moving, LLC",jandnmoving.com,Full-Service Residential and Commercial Movers,1,2,CONSUMER_SERVICES:0.87,B2C:0.92,"moving belongings:0.55, moving furniture:0.5, moving great:0.5, ms moving:0.49, job moving:0.49, movers oxford:0.49, oxford moving:0.48, moving best:0.48, moving experience:0.48, courteous movers:0.46, movers professional:0.46, planning moving:0.45, moving llc:0.41, residential office:0.4, home stress:0.33","J and N Moving, LLC is a moving service that offers residential, office, apartment, and cross-country moves. Their main purpose is to simplify the moving process by providing professional packing, storage, and coordination for families and individuals. Key features include competitive pricing, customer satisfaction guarantees, and a focus on ensuring that furniture and items are treated as valued as they are. The company emphasizes timely delivery and efficient service throughout the move process.",,84,1-10M,1-10,2018-04-11,1313 N Lamar Boulevard,Oxford,MS,38655,US,"+12023587027, +16627017537",info@jandnmoving.com,,2026-06-06,"{""B2C"": 0.92}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,J AND N Moving,has_public,info@jandnmoving.com,ok,skipped,info@jandnmoving.com,P0,done,"Not many moving companies in Oxford have been simplifying moves since 2018 with such a small, dedicated team."
Quick Moving Inc.,quickmoving.ca,Full-Service Residential and Commercial Movers,1,2,CONSUMER_SERVICES:1.0,"B2B:0.92, B2C:0.96","residential movers:0.61, residential moving:0.6, moving packing:0.58, moving delivery:0.57, moving labor:0.56, moving service:0.56, moving households:0.56, moving need:0.54, packing labour:0.53, business moving:0.52, require moving:0.52, moving assembly:0.5, movers dependable:0.48, tailored relocation:0.47, households crews:0.46","Quick Moving Inc. is a local moving company that offers a range of professional moving services for both residential and business clients. Their main functionalities include packing, labor-only moving, transportation, storage, and assembly and disassembly. The team consists of experienced movers who prioritize safety and reliability, ensuring items are safely moved without damage during the move. They provide free quotes and transparent pricing with no hidden fees.",https://www.instagram.com/quickmoving.ca,93,1-10M,1-10,2021-06-29,,Toronto,ON,,CA,+18772532607,info@quickmoving.ca,,2026-06-05,"{""B2B"": 0.92, ""B2C"": 0.96}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,Quick Moving,has_public,info@quickmoving.ca,catch_all,deliverable,info@quickmoving.ca,P0,done,"Noticed that Quick Moving has been handling moves across Toronto since 2021 with a small, experienced team."
All About Moving,wilmingtonmovingservices.com,Full-Service Residential and Commercial Movers,1,2,CONSUMER_SERVICES:1.0,"B2B:0.5, B2C:0.95","moving wilmington:0.7, wilmington moving:0.7, wilmington mover:0.68, wilmington movers:0.68, mover wilmington:0.67, movers wilmington:0.66, wilmingtonmovingservices com:0.61, services wilmington:0.57, choose wilmington:0.55, company wilmington:0.54, handle wilmington:0.53, wilmington skip:0.52, recommend moving:0.51, nc moving:0.49, movers advantages:0.46","All About Moving is a moving company based in Wilmington, North Carolina, specializing in both local and long-distance moves. They offer a range of services including packing, unpacking, loading, and unloading for various types of belongings such as homes, condos, and office spaces. The company emphasizes customer support throughout the move, providing fast and friendly service to ensure a stress-free experience for clients. All About Moving also provides free estimates and has a strong reputation for its professional movers and customer satisfaction.","https://www.facebook.com/hacklink.official, https://x.com/_marsbahis_xtr, https://x.com/hacklinkpanel, https://x.com/marsbahistelegr, https://x.com/meritkinghaber_, https://x.com/meritkingiris_x, https://www.youtube.com/@hacklinksatinal, https://play.google.com/store/apps/details?id=com.followpeek.pro",102,1-10M,1-10,2016-11-10,2214 Brandon Rd.,Wilmington,NC,28405,US,,info@wilmingtonmovingservices.com,,2026-06-05,"{""B2B"": 0.5, ""B2C"": 0.95}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,All About Moving,has_public,info@wilmingtonmovingservices.com,unknown,deliverable,info@wilmingtonmovingservices.com,P0,done,Noticed that you've been handling Wilmington moves since 2016 with a tight-knit team.
Space Express Moving,myspaceexpress.com,Full-Service Residential and Commercial Movers,1,2,CONSUMER_SERVICES:1.0,B2C:0.97,"express moving:0.57, space express:0.51, moving belongings:0.48, moving services:0.48, making relocation:0.46, local movers:0.46, moving contact:0.46, moving soon:0.45, home moving:0.44, movers space:0.42, moving insurance:0.42, moving offers:0.41, email moving:0.4, moving zip:0.39, claim space:0.38","Space Express Moving is a moving company that offers a variety of services for home and business relocations in Florida. Their main functionalities include local, long-distance, specialized moving assistance, packing services tailored to individual needs, and providing moving insurance for safe relocation practices. They also offer free consultations with licensed movers who provide detailed quotes and support throughout the moving process. Additionally, Space Express Moving provides online booking options for their services and emphasizes customer satisfaction through professional service and transparent communication.","https://www.linkedin.com/company/space-express-llc, https://www.instagram.com/spaceexpressllc",264,<1M,1-10,2017-05-04,1108 Linden Avenue,Takoma Park,MD,20912,US,"+12407013377, +19548306413, +19548335800, +12028174734",info@myspaceexpress.com,,2026-06-04,"{""B2C"": 0.97}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,Space Express Moving,has_public,info@myspaceexpress.com,ok,skipped,info@myspaceexpress.com,P0,done,Noticed that you’ve been running Space Express Moving out of Takoma Park since 2017.
Cheney Bro Worldwide Moving,cbwmoving.com,Full-Service Residential and Commercial Movers,1,2,CONSUMER_SERVICES:0.93,"B2B:0.99, B2C:0.98","international moving company:0.5, effective moving plan:0.38, commercial moving:0.37, location rest assure:0.27, long distance:0.27, door moving:0.24, service possible:0.23, company downtime:0.22, vehicle transportation:0.22, safe arrival:0.2, attractive competitive pricing:0.19, coverage bumper:0.18, outstanding customer:0.16, free estimate:0.15, global level:0.15","Cheney Bro Worldwide Moving is a moving company that provides a range of relocation services for residential, commercial, and international moves across the United States, Caribbean, and Canada. Their main functionality includes door-to-door moving, packing, and transportation, ensuring safe and efficient handling of belongings. Key features include 24/7 customer support, customized moving solutions, moving protection against theft or damage, and competitive pricing to accommodate various moving needs. The company is licensed and insured, emphasizing quality service and customer satisfaction throughout the move process.","https://www.instagram.com/cheney.brothers, https://x.com/cheney_brothers",79,1-10M,1-10,2023-01-10,5300 Powerline Road.,Ft Lauderdale,FL,33309,US,"+18883448895, +18554346683",info@cbwmoving.com,,2026-06-04,"{""B2B"": 0.99, ""B2C"": 0.98}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,Cheney Bro Worldwide Moving,has_public,info@cbwmoving.com,ok,skipped,info@cbwmoving.com,P0,done,"Noticed that Cheney Bro Worldwide Moving has been handling moves across the US, Caribbean, and Canada from Ft Lauderdale since 2023."
Illini Movers,illinimovers.com,Full-Service Residential and Commercial Movers,1,2,CONSUMER_SERVICES:0.99,"B2B:0.54, B2C:0.75","movers champaign:0.73, champaign il:0.63, helena st:0.42, netherlands new:0.33, il skip:0.31, 9816 illinimovers:0.3, st vincent:0.29, guiana french:0.29, islands albania:0.29, mauritius mayotte:0.28, isle man:0.28, required address:0.27, armenia aruba:0.25, furniture moved:0.24, menu home:0.23","Movers in Champaign, IL offers full-service commercial residential moving and packing services. The company provides a range of services including labor-only logistics for moves, packing, unpacking, and shipping across various countries. Customers can request free estimates and receive assistance with their packing needs through the website. The service aims to simplify the relocation process for individuals and businesses looking to move efficiently and effectively.",https://www.facebook.com/illinimovers,99,1-10M,1-10,2021-06-29,,Champaign,IL,61820,US,"+12178001007, +12173189816",move@illinimovers.com,,2026-06-04,"{""B2B"": 0.54, ""B2C"": 0.75}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,Illini Movers,has_public,move@illinimovers.com,ok,skipped,move@illinimovers.com,P0,done,"Noticed that you’ve been handling moves in Champaign since 2021 with a small, agile team."
All in One Moving LLC,allinonemovingllc.com,Full-Service Residential and Commercial Movers,1,2,CONSUMER_SERVICES:0.94,B2C:0.96,"moving services:0.59, moving llc:0.52, reliable moving:0.47, 8036 moving:0.45, senior moving:0.45, moving mission:0.45, insured movers:0.44, moving stressful:0.42, america moving:0.4, movers completed:0.4, services western:0.39, free moving:0.38, moving testimonials:0.35, long distance:0.35, content home:0.28","All in One Moving LLC is a family-owned moving company that offers both local and long-distance moving services. They provide a range of services including packing, storage, shipping, and repairs, ensuring smooth transitions for families and individuals. The company combines professional experience with trusted equipment to deliver reliable support throughout the moving process. Their experienced movers aim to minimize stress and enhance the overall moving experience for their clients.","https://m.facebook.com/allinonemoving2113, https://www.yelp.com/biz/all-in-one-moving-kuna-3?osq=all+in+one+moving",79,1-10M,1-10,2019-03-11,2807 S. Cole Road,Boise,ID,83702,US,"+12083532104, +12089998036",bookings@allinonemovingllc.com,,2026-06-04,"{""B2C"": 0.96}",General Moving Companies in US / CA,2026-06-16T01:29:26.296+03:00,All in One Moving,has_public,bookings@allinonemovingllc.com,catch_all,deliverable,bookings@allinonemovingllc.com,P0,done,"Noticed that since 2019, you've been handling moves in Boise with a small, experienced team."
